id,created_on,creator_id,topic_id
176,2015-04-01,6324,8
177,2015-01-24,6630,1
178,2015-08-30,4441,7
179,2011-11-18,9252,8
180,2013-03-09,6510,2
181,2015-06-14,9588,8
182,2015-01-13,3801,9
183,2012-09-28,234,9
184,2014-03-08,6285,2
185,2005-12-20,1511,5
186,2015-04-18,1260,2
187,2013-03-06,6742,1
188,2012-10-15,136,1
189,2008-09-05,3551,4
190,2006-10-10,1378,10
191,2009-10-02,8890,8
192,2012-01-10,7668,1
193,2011-01-01,8046,1
194,2011-08-11,8410,9
195,2015-06-17,1479,6
196,2010-05-09,1050,7
197,2013-02-16,5973,10
198,2015-04-25,740,9
199,2015-07-09,2273,6
200,2014-10-04,1189,2
201,2008-04-28,9371,1
202,2014-12-12,8214,10
203,2013-08-19,1134,9
204,2013-03-04,849,5
205,2015-10-04,8421,5
206,2015-10-15,3155,10
207,2011-02-01,5175,2
208,2009-02-15,93,4
209,2015-04-26,3182,9
210,2002-07-17,1237,9
211,2009-02-12,7142,7
212,2014-02-16,5049,3
213,2012-07-10,6208,4
214,2012-03-24,5459,9
215,2006-03-14,7126,7
216,2005-11-17,7736,4
217,2015-03-14,5977,9
218,2003-11-16,1307,3
219,2011-08-16,6166,7
220,2014-11-25,3119,8
221,2014-09-15,6919,9
222,2007-12-13,9817,2
223,2015-07-16,3733,2
224,2012-02-25,3651,1
225,2015-03-08,6507,3
226,2010-10-12,589,7
227,2010-04-24,8247,5
228,2015-07-29,3775,2
229,2012-09-28,217,6
230,2014-02-04,9209,8
231,2011-01-09,7262,6
232,2007-12-06,4923,4
233,2003-04-11,118,7
234,2013-06-06,5936,2
235,2008-07-01,2513,6
236,2014-01-12,7269,4
237,2003-10-26,5544,2
238,2015-10-31,9112,5
239,2014-10-14,2792,1
240,2011-07-21,1003,5
241,2011-02-12,5897,3
242,2015-12-26,3816,8
243,2010-10-31,7805,8
244,2012-12-12,6927,3
245,2014-02-22,1828,8
246,2015-07-06,5418,10
247,2011-01-19,4268,5
248,2012-09-09,6977,3
249,2006-09-22,6358,8
250,2013-11-20,8761,7
251,2009-05-31,2435,1
252,2012-08-10,5240,9
253,2007-08-05,2494,10
254,2014-03-20,3332,10
255,2015-12-19,2514,6
256,2012-04-23,3337,2
257,2014-02-20,9068,1
258,2009-12-17,9865,6
259,2010-07-25,1692,3
260,2011-08-02,1565,3
261,2012-10-02,4981,3
262,2014-03-10,9370,3
263,2015-02-15,6756,10
264,2009-03-21,2879,1
265,2012-06-15,6237,2
266,2015-10-23,9387,4
267,2014-06-25,7120,10
268,2014-06-28,187,1
269,2015-04-26,2843,7
270,2015-12-26,8305,10
271,2014-10-25,9769,6
272,2015-02-20,2592,10
273,2011-05-19,6072,8
274,2015-03-23,6180,4
275,2007-11-02,5176,6
276,2014-08-08,318,4
277,2012-09-20,2399,1
278,2015-06-09,5485,10
279,2002-08-31,5690,7
280,2011-04-25,1337,8
281,2012-09-28,2110,1
282,2011-09-01,632,4
283,2012-03-27,1501,10
284,2015-10-30,6995,7
285,2014-11-30,8052,6
286,2014-02-13,9955,3
287,2014-11-16,6768,1
288,2009-06-27,7349,7
289,2012-04-15,1568,9
290,2014-07-03,9565,9
291,2014-07-31,5126,7
292,2015-02-14,2358,3
293,2011-04-20,1384,10
294,2015-12-10,5095,4
295,2014-06-01,1795,4
296,2014-03-21,1154,7
297,2011-11-14,607,6
298,2010-05-24,8278,9
299,2015-12-18,253,4
300,2003-03-05,2820,8
301,2010-12-09,2428,10
302,2013-07-26,510,6
303,2011-09-22,811,8
304,2012-10-28,4075,10
305,2006-12-08,4106,10
306,2014-12-24,5800,7
307,2015-11-24,5129,1
308,2006-12-07,3432,4
309,2014-03-26,5586,3
310,2015-04-08,9116,7
311,2015-12-30,3090,2
312,2015-05-22,7054,4
313,2007-05-06,2242,5
314,2009-01-27,2231,8
315,2015-08-27,1140,3
316,2014-10-14,2065,4
317,2011-01-05,2153,9
318,2013-03-07,4982,2
319,2011-09-12,9663,5
320,2012-10-06,1095,7
321,2014-05-02,5176,3
322,2011-02-17,6873,3
323,2013-02-18,2645,3
324,2015-10-25,9481,6
325,2014-12-19,6609,2
326,2015-07-01,4864,1
327,2015-08-03,3563,5
328,2012-04-08,8194,8
329,2015-12-27,8076,6
330,2012-03-02,9873,6
331,2013-05-08,4134,7
332,2015-05-17,446,4
333,2007-06-22,7613,3
334,2015-01-04,1887,2
335,2013-12-09,3567,7
336,2015-07-03,5340,7
337,2011-02-01,3390,8
338,2009-08-28,8596,1
339,2013-12-06,15,5
340,2015-10-26,6604,5
341,2015-08-20,4427,1
342,2003-03-25,2359,2
343,2013-03-21,4803,9
344,2012-01-21,7538,2
345,2015-12-30,8752,1
346,2000-08-16,1638,10
347,2013-09-13,8824,7
348,2015-12-26,2672,1
349,2014-04-01,9117,10
350,2006-08-12,1533,7
351,2015-06-19,2767,7
352,2015-01-09,9807,9
353,2013-10-26,3026,9
354,2012-04-21,7853,1
355,2015-10-17,1962,6
356,2013-07-08,9206,3
357,2015-11-25,8434,2
358,2004-07-25,1941,5
359,2013-09-10,9581,3
360,2011-12-19,4865,10
361,2014-01-27,9764,10
362,2015-04-14,9852,7
363,2015-09-13,3005,8
364,2005-03-09,9211,1
365,2015-04-18,3340,2
366,2008-08-26,1124,7
367,2011-04-08,7204,9
368,2013-01-31,2979,5
369,2014-10-06,9574,1
370,2012-09-27,1992,8
371,2012-11-19,5194,9
372,2004-02-16,8954,1
373,2011-12-28,972,5
374,2015-03-06,2319,9
375,2005-09-05,2045,2
376,2012-03-06,4291,2
377,2015-01-26,1802,5
378,2010-07-30,8725,1
379,2012-11-18,5914,6
380,2008-09-11,4786,5
381,2010-10-29,1264,10
382,2010-10-25,2153,9
383,2014-08-26,3600,7
384,2013-06-18,4493,5
385,2015-06-28,8591,9
386,2007-02-09,5961,3
387,2015-09-26,1796,1
388,2013-09-29,2861,7
389,2015-09-14,7018,1
390,2014-10-10,4519,2
391,2011-12-16,5399,10
392,2011-12-01,7181,1
393,2014-04-10,3687,8
394,2014-10-31,439,9
395,2015-11-17,8177,2
396,2014-11-29,4202,3
397,2009-09-30,4011,8
398,2011-04-10,2718,9
399,2014-08-08,6362,3
400,2011-03-07,4400,2
401,2008-10-11,2625,9
402,2014-10-23,4420,2
403,2015-12-17,1882,7
404,2014-09-07,4067,7
405,2014-11-30,9875,5
406,2012-09-01,3570,8
407,2015-10-28,9712,2
408,2010-08-17,6051,1
409,2005-11-14,7679,8
410,2015-12-28,8740,4
411,2015-09-29,1816,7
412,2015-05-09,1654,2
413,2013-05-08,7602,3
414,2007-04-26,4840,5
415,2008-02-18,3283,7
416,2014-05-09,3393,2
417,2012-11-03,5904,4
418,2012-09-15,3357,8
419,2008-01-06,178,7
420,2014-07-29,8911,5
421,2015-08-18,2202,3
422,2014-03-13,5012,10
423,2013-11-09,5451,9
424,2009-09-22,9144,3
425,2014-04-03,2773,6
426,2013-09-22,9442,8
427,2015-07-04,1426,5
428,2008-03-31,5610,1
429,2015-04-27,5609,1
430,2011-10-01,3995,7
431,2014-05-08,8720,2
432,2013-09-04,148,7
433,2009-08-19,6159,9
434,2013-10-19,5736,10
435,2015-12-28,2672,8
436,2013-04-12,6709,1
437,2012-09-27,1154,9
438,2015-09-09,7506,6
439,2010-04-23,4444,8
440,2013-02-08,9777,4
441,2015-05-13,1326,3
442,2012-12-23,9508,10
443,2013-04-29,8244,5
444,2014-02-08,7180,9
445,2015-12-15,4244,2
446,2011-01-07,940,10
447,2013-09-16,502,3
448,2015-09-24,1516,3
449,2005-06-10,691,5
450,2015-05-21,9481,1
451,2013-09-14,5430,10
452,2014-03-19,2298,9
453,2013-01-25,7120,5
454,2006-03-25,1086,3
455,2014-05-30,4680,8
456,2012-11-21,6353,5
457,2011-05-20,7311,2
458,2012-04-01,5613,6
459,2006-09-13,2688,8
460,2014-08-10,9453,10
461,2015-02-03,2646,9
462,2012-11-25,4813,6
463,2010-09-29,2665,1
464,2014-12-07,3485,2
465,2010-04-13,9440,6
466,2014-07-13,309,2
467,2007-03-21,6202,4
468,2007-11-12,9394,3
469,2014-10-03,5608,5
470,2011-07-22,5165,10
471,2015-04-27,5361,3
472,2008-06-05,4317,5
473,2007-06-26,601,6
474,2015-02-26,6835,3
475,2009-03-22,4252,4
476,2009-05-29,7636,5
477,2015-06-19,5733,8
478,2015-03-30,4884,5
479,2013-02-07,5451,9
480,2015-09-15,1212,10
481,2015-08-18,5130,8
482,2004-09-20,542,6
483,2007-07-13,7231,7
484,2015-09-30,7536,2
485,2000-05-19,6381,2
486,2015-10-21,9476,1
487,2015-03-07,270,7
488,2013-08-12,7960,2
489,2013-11-02,2899,10
490,2015-06-29,9513,7
491,2015-09-14,2572,2
492,2015-06-20,3794,10
493,2011-09-11,9411,5
494,2006-09-25,8163,9
495,2014-03-10,3026,1
496,2012-08-21,8189,4
497,2012-07-31,8533,3
498,2008-08-26,1961,9
499,2010-10-21,5450,3
500,2010-04-26,3624,10
501,2015-12-13,2101,9
502,2014-08-16,165,1
503,2014-06-29,3136,3
504,2015-08-03,2279,3
505,2014-02-16,3328,3
506,2010-07-13,6243,6
507,2010-01-10,2322,3
508,2012-11-04,1454,1
509,2015-09-24,6468,4
510,2014-07-14,5663,8
511,2012-04-02,6561,7
512,2014-03-07,8947,8
513,2003-02-13,4452,4
514,2009-11-29,9915,6
515,2014-12-26,1182,9
516,2012-12-21,7039,3
517,2015-06-03,7858,6
518,2009-02-04,3430,7
519,2015-07-01,9693,1
520,2009-11-07,4813,6
521,2013-05-14,2963,4
522,2005-07-29,4341,1
523,2009-03-08,116,8
524,2015-12-15,3050,6
525,2015-02-27,3198,6
526,2013-12-02,8989,9
527,2015-12-25,9628,9
528,2015-11-04,3603,10
529,2014-12-28,7420,3
530,2013-11-22,2534,10
531,2015-11-29,3279,2
532,2015-07-03,9225,8
533,2013-02-15,8457,3
534,2013-05-06,649,4
535,2013-12-01,7960,3
536,2014-10-14,2815,9
537,2010-11-22,6209,7
538,2015-06-30,195,10
539,2013-04-18,2517,3
540,2003-02-27,9930,9
541,2010-11-29,6563,9
542,2010-02-10,8399,10
543,2006-10-18,6264,9
544,2005-06-01,8640,8
545,2015-12-05,6225,2
546,2013-12-06,7567,2
547,2010-10-20,3585,3
548,2008-08-10,9689,1
549,2014-03-05,925,2
550,2015-12-12,7412,5
551,2013-10-30,613,7
552,2012-04-24,9585,2
553,2013-07-02,7582,10
554,2015-01-01,4976,6
555,2014-02-26,3354,7
556,2012-06-13,6979,5
557,2013-02-13,3864,1
558,2014-07-05,2971,6
559,2015-12-27,2152,1
560,2013-07-23,9663,10
561,2013-07-12,3687,2
562,2015-11-15,9595,9
563,2013-01-11,2552,6
564,2009-03-23,2820,9
565,2008-09-05,9620,3
566,2015-07-28,393,5
567,2009-01-29,1256,10
568,2015-12-17,4374,9
569,2015-07-26,9933,4
570,2014-06-09,5298,9
571,2012-07-09,8501,5
572,2012-08-17,8025,8
573,2015-08-08,2257,7
574,2014-12-25,2228,4
575,2012-08-23,2256,5
576,2013-06-16,3907,9
577,2015-05-22,2433,5
578,2014-12-27,524,9
579,2013-10-05,9593,6
580,2015-01-29,2877,6
581,2015-07-22,896,1
582,2010-01-10,2718,2
583,2014-10-29,3462,5
584,2014-05-23,1330,5
585,2004-10-25,5123,3
586,2015-10-30,4284,7
587,2015-06-06,1724,5
588,2012-12-18,3167,4
589,2010-11-20,2402,5
590,2012-01-27,3517,5
591,2015-06-05,3204,8
592,2010-08-04,4721,5
593,2014-06-16,1460,7
594,2014-04-21,8584,7
595,2015-05-14,4455,4
596,2004-01-26,6281,6
597,2014-05-28,1318,10
598,2013-10-01,8934,9
599,2013-06-07,9250,1
600,2012-01-28,250,4
601,2006-06-16,1797,6
602,2014-09-28,6770,4
603,2011-11-03,4467,6
604,2009-07-13,5945,3
605,2006-12-02,7374,9
606,2011-01-02,1804,8
607,2014-12-20,1433,2
608,2015-01-22,7692,8
609,2011-07-12,9636,5
610,2015-07-22,5057,7
611,2014-12-01,6167,4
612,2010-09-26,1003,1
613,2004-08-11,26,8
614,2014-08-11,6708,9
615,2008-09-03,5873,6
616,2007-12-10,962,10
617,2015-08-21,1013,3
618,2015-04-13,9384,5
619,2010-08-21,7516,7
620,2014-09-07,540,5
621,2014-12-23,2315,9
622,2013-10-03,9667,5
623,2015-12-20,5010,9
624,2010-06-18,7801,10
625,2013-12-28,2565,7
626,2015-07-12,2349,3
627,2006-09-21,1243,9
628,2015-02-21,3384,10
629,2013-09-22,6400,8
630,2015-12-23,7198,1
631,2011-07-28,4613,1
632,2013-04-08,8573,5
633,2013-06-03,8983,6
634,2015-07-10,2051,6
635,2010-11-24,269,4
636,2014-06-28,6236,9
637,2010-07-15,3675,4
638,2009-08-07,4312,9
639,2015-03-05,7571,8
640,2014-09-07,8219,5
641,2015-01-16,171,9
642,2008-03-19,8846,3
643,2009-03-23,2985,8
644,2015-09-04,8404,9
645,2009-06-20,1067,2
646,2011-10-07,8487,10
647,2014-10-11,1668,5
648,2009-10-12,6816,6
649,2006-02-22,5777,1
650,2006-09-07,725,6
651,2010-01-13,2809,6
652,2013-04-24,28,1
653,2012-06-30,9202,7
654,2012-08-10,3022,6
655,2012-10-18,3361,6
656,2014-12-06,1895,10
657,2015-11-25,6697,2
658,2012-10-11,5114,5
659,2012-07-11,4629,3
660,2005-11-19,2785,7
661,2010-10-25,5728,4
662,2000-12-12,1346,6
663,2014-08-05,4561,2
664,2011-03-20,9678,9
665,2014-08-27,5717,6
666,2008-11-15,2499,4
667,2012-03-28,1941,6
668,2010-01-04,7313,9
669,2009-01-21,2246,8
670,2015-10-23,2793,6
671,2008-06-21,5198,4
672,2013-02-07,2208,5
673,2015-05-07,4132,8
674,2009-03-28,3236,6
675,2010-10-26,6289,7
676,2002-02-27,7910,8
677,2015-10-14,8211,1
678,2014-05-31,5365,8
679,2011-03-15,6177,1
680,2011-05-21,8299,5
681,2010-06-09,9288,8
682,2014-07-19,9233,9
683,2015-11-01,6387,6
684,2015-10-27,3550,5
685,2001-09-18,4777,7
686,2013-09-02,5708,5
687,2014-08-28,8017,8
688,2006-04-14,1691,4
689,2011-11-16,8048,3
690,2002-10-03,3839,10
691,2013-01-31,4003,7
692,2005-12-10,3797,10
693,2009-12-27,9992,5
694,2015-11-07,3747,9
695,2002-04-22,678,7
696,2011-08-14,6157,7
697,2014-12-31,9310,4
698,2012-10-18,6131,5
699,2014-07-29,8649,9
700,2013-07-22,5896,1
701,2014-07-10,4864,10
702,2012-10-08,4029,3
703,2015-12-26,5451,7
704,2014-06-07,9948,7
705,2015-10-18,4161,1
706,2013-05-14,8161,6
707,2005-04-16,5262,7
708,2014-02-21,1954,8
709,2013-10-03,4355,10
710,2014-09-05,5776,2
711,2012-05-12,6103,10
712,2012-03-25,1397,10
713,2011-01-22,5098,8
714,2012-12-01,7213,3
715,2013-02-19,1562,2
716,2005-07-13,7442,3
717,2008-07-27,8271,5
718,2011-04-01,5487,7
719,2015-12-31,9298,4
720,2015-07-19,1398,4
721,2015-04-29,955,5
722,2013-10-28,4957,1
723,2014-12-14,4758,6
724,2015-12-20,6594,10
725,2003-06-16,7015,5
726,2015-09-27,4176,4
727,2015-01-06,6133,1
728,2015-09-16,9226,7
729,2014-04-06,6306,4
730,2012-09-23,196,8
731,2012-06-20,2331,1
732,2009-04-23,6961,6
733,2014-04-25,9914,8
734,2015-04-15,4646,9
735,2015-09-06,953,3
736,2014-08-18,3981,10
737,2011-11-02,7489,5
738,2014-10-17,7990,7
739,2010-05-17,9456,1
740,2015-08-07,1065,1
741,2012-09-15,1977,2
742,2015-01-10,5799,10
743,2012-02-05,1253,7
744,2014-12-06,5086,2
745,2014-08-14,8392,6
746,2015-05-11,4618,5
747,2015-06-15,5855,5
748,2005-07-06,440,4
749,2015-08-16,9573,2
750,2012-08-12,7302,5
751,2007-10-04,8548,9
752,2015-09-06,3351,8
753,2008-12-15,7400,3
754,2015-10-30,8370,5
755,2015-05-20,9279,6
756,2014-06-20,4410,1
757,2009-09-28,9853,3
758,2015-02-21,1673,6
759,2007-06-18,972,10
760,2006-12-10,5189,8
761,2010-03-17,6833,4
762,2015-10-06,9380,1
763,2014-11-23,9178,9
764,2015-11-06,7996,5
765,2013-07-25,7331,6
766,2015-08-16,7171,7
767,2015-10-20,3367,3
768,2014-11-26,1413,10
769,2015-10-22,1604,6
770,2013-08-26,1924,6
771,2013-06-24,2535,8
772,2014-07-22,2330,4
773,2015-11-15,9527,9
774,2014-05-18,249,7
775,2006-07-04,2590,5
776,2013-06-15,5956,1
777,2007-01-12,1201,9
778,2015-08-31,7175,1
779,2015-06-22,640,7
780,2001-11-17,816,3
781,2004-03-26,1513,10
782,2011-04-09,4801,4
783,2013-10-09,5607,10
784,2015-11-16,5901,1
785,2013-12-05,1784,6
786,2015-11-30,608,3
787,2011-08-25,9789,6
788,2008-01-12,972,8
789,2013-08-21,9578,8
790,2015-09-11,9325,10
791,2015-12-30,6573,7
792,2004-10-22,3630,1
793,2013-02-09,683,9
794,2013-07-24,6565,2
795,2015-06-19,4742,8
796,2010-10-22,2537,6
797,2009-11-06,9995,6
798,2012-04-12,2420,6
799,2013-09-24,1991,6
800,2010-09-18,771,2
801,2003-10-04,826,7
802,2007-05-04,4362,1
803,2010-07-20,9636,5
804,2011-10-01,7828,10
805,2009-10-11,3179,4
806,2015-12-07,3737,4
807,2012-12-06,7535,2
808,2015-12-22,1864,2
809,2012-10-26,8532,3
810,2012-08-22,8131,4
811,2006-03-04,767,1
812,2012-12-18,5242,7
813,2015-05-05,5772,6
814,2006-10-27,2768,4
815,2012-09-15,156,3
816,2015-10-04,202,5
817,2015-04-26,252,10
818,2014-05-19,6998,1
819,2014-08-11,8464,2
820,2013-09-07,872,4
821,2013-07-28,3438,2
822,2012-12-28,8079,4
823,2012-10-08,9111,7
824,2009-05-24,5702,5
825,2014-10-18,6193,1
826,2009-11-01,2854,4
827,2015-11-20,9007,9
828,2007-08-07,7192,10
829,2012-08-27,1442,1
830,2013-12-20,6569,7
831,2014-11-01,2184,2
832,2007-02-07,4375,7
833,2013-01-19,1091,9
834,2012-03-19,3480,6
835,2012-06-09,229,7
836,2014-11-08,8569,1
837,2014-07-11,5991,4
838,2010-04-22,2628,6
839,2008-04-11,7145,1
840,2006-01-03,7435,10
841,2013-06-17,1763,7
842,2015-08-22,1856,3
843,2008-04-08,618,3
844,2014-07-16,5047,9
845,2013-08-26,6047,7
846,2008-08-14,4115,2
847,2014-11-05,193,3
848,2010-03-09,7085,9
849,2013-11-07,1747,4
850,2015-07-11,2996,6
851,2011-11-02,1160,2
852,2015-06-16,7070,6
853,2015-12-31,282,8
854,2005-02-05,3212,5
855,2014-06-28,6778,6
856,2014-05-22,9547,8
857,2012-03-03,9089,10
858,2011-10-04,7447,9
859,2006-08-24,1557,7
860,2007-12-04,650,2
861,2013-06-11,8136,8
862,2009-04-29,1714,10
863,2010-11-14,2138,2
864,2014-12-30,7841,5
865,2013-10-25,4703,2
866,2015-05-17,1662,10
867,2015-09-29,6364,4
868,2014-09-10,8392,2
869,2013-10-06,8778,6
870,2014-05-22,2523,2
871,2010-01-17,4188,7
872,2015-12-07,7771,4
873,2015-12-31,237,10
874,2012-04-29,2813,3
875,2014-12-21,5555,3
876,2014-11-12,9606,3
877,2013-09-12,2129,9
878,2015-06-26,490,1
879,2008-03-29,5080,7
880,2015-10-24,8502,7
881,2010-11-26,1996,3
882,2014-03-19,9130,7
883,2011-07-30,2997,10
884,2006-10-19,3902,3
885,2011-05-06,7836,10
886,2015-07-24,9973,8
887,2014-11-18,7782,9
888,2013-03-28,6767,1
889,2013-07-27,9549,5
890,2015-08-30,312,3
891,2009-02-05,7529,8
892,2013-05-07,5230,1
893,2015-09-11,9005,8
894,2003-11-22,1936,6
895,2014-11-17,7726,9
896,2012-03-29,6161,9
897,2010-10-13,9647,7
898,2013-09-23,4012,5
899,2011-08-05,999,3
900,2013-07-22,2434,8
901,2015-02-20,964,9
902,2013-05-27,7454,10
903,2012-02-11,7545,5
904,2014-10-05,5786,4
905,2014-09-04,131,7
906,2010-10-29,1930,5
907,2015-12-15,1561,9
908,2015-03-13,6182,2
909,2015-10-14,4897,3
910,2015-06-18,4742,3
911,2015-02-06,7728,3
912,2014-05-19,5286,5
913,2015-09-11,857,3
914,2007-01-31,8616,9
915,2008-02-10,6615,9
916,2015-05-12,1000,7
917,2005-04-30,4550,8
918,2013-03-15,6475,4
919,2014-10-05,2091,6
920,2009-03-01,8849,9
921,2009-02-20,9219,8
922,2014-05-30,5769,2
923,2015-10-25,953,3
924,2009-06-29,5827,2
925,2015-02-13,8594,4
926,2009-05-14,8513,4
927,2010-12-05,5554,8
928,2015-10-04,1383,6
929,2015-11-08,7105,9
930,2015-07-11,610,7
931,2013-09-04,1720,3
932,2011-12-24,2853,2
933,2015-04-09,6117,1
934,2013-01-08,3774,1
935,2010-12-17,4815,2
936,2012-12-11,2199,5
937,2015-12-04,3283,9
938,2007-06-21,104,3
939,2010-08-15,9452,7
940,2014-10-08,4329,9
941,2015-11-21,9521,6
942,2015-07-29,8757,9
943,2015-06-25,2169,2
944,2008-07-12,9467,8
945,2013-06-04,8122,3
946,2013-03-19,1422,10
947,2015-03-12,9582,8
948,2014-12-27,8124,7
949,2015-10-13,6806,10
950,2011-01-28,4796,6
951,2009-09-04,2201,9
952,2003-02-16,8976,8
953,2015-06-04,2805,5
954,2010-10-10,6986,2
955,2012-09-10,9831,5
956,2015-07-15,3419,3
957,2013-10-08,5717,9
958,2014-08-07,3223,9
959,2013-08-15,584,6
960,2014-05-07,1332,1
961,2014-08-17,4359,8
962,2013-03-19,7793,4
963,2013-02-26,3598,8
964,2015-06-02,5474,6
965,2003-05-29,7326,3
966,2013-02-09,2938,2
967,2015-03-15,9485,4
968,2015-03-14,9282,2
969,2008-12-14,590,8
970,2015-04-05,5445,7
971,2011-01-22,7292,9
972,2014-04-10,2958,7
973,2004-05-02,7680,1
974,2015-12-13,7753,6
975,2014-02-19,7571,5
976,2014-05-24,1158,3
977,2013-04-20,925,6
978,2014-10-13,1949,1
979,2009-06-07,827,4
980,2012-11-21,3611,8
981,2013-03-09,2590,8
982,2015-02-13,3818,6
983,2015-10-20,4816,6
984,2010-01-15,7582,4
985,2013-04-18,562,8
986,2015-11-21,3148,4
987,2015-06-06,3057,6
988,2015-11-08,2053,5
989,2015-04-05,9384,5
990,2015-12-04,784,4
991,2010-08-08,4654,1
992,2014-11-19,8294,7
993,2013-06-27,4128,3
994,2007-11-26,7639,10
995,2015-11-24,1081,3
996,2014-01-21,986,1
997,2014-08-14,2669,2
998,2014-08-28,3569,7
999,2015-08-27,4421,8
1000,2013-01-31,6331,4
