id,createdOn,creator_id,topic_id
207,2007-04-05,57237,7
208,2015-10-20,87199,1
209,2013-07-15,96493,6
210,2010-07-28,57345,7
211,2012-03-20,81321,5
212,2010-11-01,2720,1
213,2015-01-23,83890,7
214,2015-12-13,92068,8
215,2013-11-22,39713,1
216,2011-12-12,45066,8
217,2015-10-24,88935,3
218,2015-09-13,36341,4
219,2008-11-01,67196,7
220,2014-02-23,18066,5
221,2012-08-18,46407,1
222,2011-03-31,99020,5
223,2015-09-29,94087,3
224,2013-03-13,40424,6
225,2014-03-01,39868,9
226,2015-07-25,29758,5
227,2015-09-07,26165,9
228,2013-02-27,75253,6
229,2011-12-21,27767,10
230,2014-02-12,20026,5
231,2013-10-23,71334,6
232,2015-01-10,25853,2
233,2014-01-18,56787,10
234,2013-11-27,37288,10
235,2013-10-15,42498,10
236,2011-02-23,53276,2
237,2011-09-04,79639,5
238,2011-02-25,97257,8
239,2015-08-21,81565,10
240,2010-08-05,91530,9
241,2008-01-09,69650,9
242,2014-12-25,10364,8
243,2011-06-11,75379,5
244,2010-07-08,31673,5
245,2015-01-30,415,7
246,2015-09-26,65972,1
247,2011-12-21,18634,1
248,2011-04-13,5939,3
249,2014-11-06,44225,5
250,2012-10-23,42788,8
251,2009-08-24,38324,6
252,2012-06-30,1566,3
253,2009-01-26,56933,1
254,2008-02-14,9653,9
255,2005-12-09,36652,4
256,2004-06-03,33433,8
257,2011-07-07,14596,5
258,2012-10-12,80652,8
259,2015-06-27,97430,4
260,2009-07-09,28286,10
261,2014-12-15,98399,10
262,2012-09-03,79271,6
263,2015-12-24,80737,7
264,2011-06-02,73984,8
265,2015-01-11,24259,5
266,2010-11-28,4382,2
267,2015-11-03,66150,5
268,2015-08-30,64908,1
269,2011-06-06,58117,10
270,2014-01-22,1124,6
271,2007-08-25,12551,4
272,2011-06-23,457,1
273,2014-01-25,6533,4
274,2015-11-29,75204,10
275,2015-12-07,65394,1
276,2015-01-09,61785,3
277,2015-11-23,24012,2
278,2015-09-30,97542,4
279,2014-10-08,93022,9
280,2012-04-11,82456,4
281,2015-11-13,13519,6
282,2012-06-20,77161,4
283,2010-02-14,86731,10
284,2013-06-06,58522,7
285,2008-05-30,62571,9
286,2015-06-07,72264,6
287,2015-08-16,70019,9
288,2005-11-28,4462,3
289,2012-07-17,95753,4
290,2014-08-23,3255,4
291,2014-12-09,83741,3
292,2014-09-28,92447,1
293,2011-06-06,51705,8
294,2008-10-06,26597,4
295,2014-10-13,91574,5
296,2015-11-24,69519,9
297,2015-11-03,4952,3
298,2014-04-29,24090,4
299,2009-05-15,23992,1
300,2010-02-11,24827,3
301,2014-10-09,34508,4
302,2015-01-09,63511,1
303,2008-09-09,65044,2
304,2015-09-27,15996,8
305,2008-03-31,49380,10
306,2007-06-28,14938,2
307,2004-11-05,33897,9
308,2015-03-12,89634,5
309,2012-03-27,89370,4
310,2015-11-11,42329,7
311,2015-06-09,46653,4
312,2015-12-25,45912,5
313,2010-05-24,90898,4
314,2008-02-05,86852,7
315,2014-10-31,23328,7
316,2015-08-11,56965,6
317,2014-10-24,21178,10
318,2015-11-17,62853,4
319,2013-10-20,87150,6
320,2014-08-10,3366,4
321,2015-04-02,58186,5
322,2007-11-01,54016,6
323,2012-03-09,71627,6
324,2015-09-09,77911,1
325,2015-12-17,76291,5
326,2012-06-05,18005,8
327,2015-11-05,88774,10
328,2014-06-25,59721,4
329,2015-11-07,67409,6
330,2007-04-11,79515,2
331,2013-01-06,28856,8
332,2013-11-29,75594,4
333,2015-10-27,44203,2
334,2013-07-25,66469,6
335,2002-02-10,64996,1
336,2015-10-01,386,2
337,2015-02-18,46511,1
338,2004-12-13,18814,6
339,2015-07-26,28726,5
340,2005-10-01,56402,7
341,2015-07-05,59592,8
342,2009-11-28,26350,5
343,2009-10-27,98150,3
344,2015-03-09,95316,9
345,2015-10-25,76106,1
346,2010-07-09,12244,7
347,2011-10-05,21428,9
348,2009-11-07,68096,7
349,2015-01-13,5714,10
350,2015-08-07,46699,3
351,2014-05-24,38955,7
352,2007-01-27,77315,2
353,2014-03-31,74280,1
354,2010-05-30,42343,4
355,2013-05-17,80991,9
356,2015-09-09,49575,9
357,2013-09-27,25598,1
358,2005-02-05,34327,2
359,2013-02-01,74161,10
360,2011-03-18,79119,3
361,2015-12-16,76335,2
362,2015-09-08,72418,4
363,2014-07-22,59239,3
364,2015-03-22,28217,4
365,2010-07-10,69379,6
366,2015-08-10,18220,4
367,2013-01-25,31798,9
368,2014-09-17,62492,6
369,2006-01-28,42119,1
370,2012-07-26,751,1
371,2014-01-22,22394,2
372,2007-02-15,98569,2
373,2015-01-19,89559,4
374,2014-11-04,85284,4
375,2013-10-11,19130,9
376,2005-09-17,72364,10
377,2002-12-03,7702,10
378,2014-07-05,33914,7
379,2003-01-08,95558,5
380,2012-04-02,94602,6
381,2012-02-09,56242,2
382,2008-11-19,48027,7
383,2015-10-25,92026,8
384,2010-10-05,81634,8
385,2013-10-20,52098,7
386,2013-08-12,4491,8
387,2006-08-24,69050,1
388,2012-05-12,53134,3
389,2010-01-18,9481,5
390,2002-06-07,46762,5
391,2014-11-01,96470,8
392,2012-10-19,72577,4
393,2013-09-07,99250,5
394,2013-04-14,27567,6
395,2014-08-16,66341,5
396,2013-04-06,53287,7
397,2003-11-15,66387,2
398,2015-11-22,47276,2
399,2015-10-29,29643,7
400,2013-03-19,29577,2
401,2012-06-13,75340,3
402,2015-07-22,68751,9
403,2014-05-02,40468,10
404,2010-11-11,67625,6
405,2008-03-14,74663,4
406,2009-05-17,56348,8
407,2015-12-19,76088,8
408,2015-12-30,96384,10
409,2010-10-27,48887,5
410,2013-12-29,86965,5
411,2015-03-04,87671,3
412,2008-09-16,6372,5
413,2015-06-06,82715,6
414,2013-11-23,5044,4
415,2015-02-06,42812,10
416,2001-04-24,96166,8
417,2008-05-24,91609,7
418,2014-11-20,33901,4
419,2011-02-29,85052,10
420,2014-04-29,97613,9
421,2007-11-09,18341,2
422,2013-11-20,53327,8
423,2015-07-25,17686,2
424,2008-05-02,93054,9
425,2009-06-18,36889,2
426,2015-08-11,37185,3
427,2015-07-05,4849,2
428,2013-10-04,57493,3
429,2013-08-02,15004,6
430,2015-12-21,71238,8
431,2015-12-27,6146,10
432,2010-09-23,55403,4
433,2012-09-27,64702,3
434,2011-07-01,97915,1
435,2009-04-02,13701,7
436,2014-06-07,20687,9
437,2011-10-13,5047,10
438,2014-05-24,8374,1
439,2013-10-17,57665,9
440,2014-04-19,53839,5
441,2015-02-06,42349,6
442,2014-07-22,80870,5
443,2005-08-01,55079,5
444,2015-10-19,43342,7
445,2014-03-20,77036,5
446,2015-08-16,81431,10
447,2010-03-19,47985,7
448,2014-12-16,94285,3
449,2015-08-14,30061,3
450,2006-02-25,15149,6
451,2007-10-31,16037,10
452,2015-10-23,5028,3
453,2015-11-04,40178,10
454,2013-04-07,18917,8
455,2008-01-31,3120,2
456,2010-11-16,1095,4
457,2011-09-07,73573,7
458,2009-03-02,39833,5
459,2004-02-26,79916,6
460,2002-06-10,227,3
461,2015-11-13,87646,4
462,2009-11-14,65434,1
463,2015-09-24,54717,4
464,2008-12-08,52063,4
465,2008-08-27,96188,9
466,2015-12-19,58038,1
467,2012-06-18,64589,1
468,2002-09-24,51230,4
469,2014-01-24,7112,9
470,2015-12-11,75505,3
471,2015-06-16,74709,5
472,2014-04-27,42393,4
473,2005-08-09,72503,9
474,2011-10-02,59405,3
475,2015-08-19,82133,5
476,2015-04-06,25735,4
477,2014-10-08,55782,7
478,2007-02-03,95908,6
479,2008-07-26,98681,3
480,2013-04-05,68375,4
481,2007-04-07,25566,1
482,2015-02-18,77866,1
483,2007-04-28,1619,1
484,2015-11-03,51090,9
485,2005-05-06,59247,6
486,2014-09-17,53581,1
487,2015-11-22,29573,10
488,2009-12-25,35227,10
489,2015-09-07,47542,2
490,2015-08-24,23030,9
491,2015-09-23,19766,7
492,2013-10-02,44624,9
493,2005-11-02,38553,1
494,2007-08-28,55304,3
495,2006-11-17,44057,5
496,2012-12-03,23560,2
497,2013-11-28,49511,7
498,2007-02-25,28445,10
499,2015-02-21,99435,6
500,2013-07-26,35988,7
501,2006-10-07,4986,9
502,2009-11-04,80046,4
503,2014-10-13,94772,6
504,2015-06-13,2240,7
505,2015-05-21,96758,2
506,2006-01-26,93129,7
507,2003-10-03,75394,5
508,2015-12-21,33328,10
509,2015-12-09,65033,6
510,2005-12-22,91898,3
511,2015-05-30,25395,1
512,2013-07-09,6085,1
513,2008-03-13,58763,9
514,2009-11-19,88869,5
515,2011-12-06,52393,5
516,2011-04-26,23992,4
517,2013-02-09,14941,1
518,2015-05-19,43463,3
519,2014-12-20,66293,7
520,2015-10-08,87867,3
521,2014-04-10,26795,2
522,2001-07-11,78554,3
523,2011-10-25,80846,8
524,2011-07-24,83293,3
525,2013-03-03,84012,9
526,2015-09-18,45103,2
527,2006-04-29,4121,10
528,2010-04-12,21220,3
529,2012-06-17,46238,8
530,2014-04-18,16467,7
531,2014-06-19,73216,1
532,2015-11-06,7506,9
533,2012-08-02,38444,8
534,2015-11-29,7980,7
535,2002-06-23,51293,5
536,2015-07-28,1986,6
537,2014-06-28,13097,3
538,2007-03-15,13851,10
539,2007-03-02,66190,6
540,2015-12-08,6569,2
541,2012-02-01,81268,10
542,2015-08-31,59866,2
543,2005-07-31,63103,1
544,2015-10-04,41271,3
545,2015-02-15,58228,8
546,2014-10-18,15197,2
547,2013-06-05,41125,3
548,2013-10-23,39637,8
549,2012-01-03,93211,2
550,2013-01-17,72786,4
551,2009-11-16,92255,1
552,2006-04-24,1191,5
553,2015-03-16,37605,9
554,2014-12-01,12290,10
555,2014-10-11,45909,4
556,2014-10-15,96585,4
557,2006-01-21,98775,4
558,2014-05-16,68464,1
559,2014-12-29,15675,9
560,2014-04-27,86387,3
561,2011-05-20,16002,6
562,2010-05-10,48694,7
563,2015-12-17,54284,2
564,2005-03-18,61111,9
565,2008-02-06,64319,6
566,2009-11-17,4460,5
567,2014-03-26,19920,9
568,2015-02-20,77215,4
569,2013-04-09,35058,7
570,2011-06-03,83523,6
571,2012-11-02,33144,8
572,2014-11-22,33073,6
573,2015-07-24,90728,3
574,2012-11-04,97860,9
575,2008-12-09,83519,3
576,2008-08-24,23021,3
577,2012-08-04,11259,6
578,2010-12-19,90771,3
579,2012-09-07,46632,5
580,2011-06-27,25898,10
581,2008-02-14,41738,4
582,2011-11-21,78383,4
583,2015-07-31,68004,6
584,2012-09-02,99326,9
585,2015-11-22,49475,5
586,2012-11-14,90417,1
587,2003-05-20,54635,5
588,2014-03-13,3797,6
589,2015-09-02,36219,3
590,2015-12-09,7978,8
591,2015-05-08,38079,6
592,2013-09-05,31319,6
593,2012-02-18,37394,1
594,2002-06-22,47623,2
595,2009-05-06,63758,5
596,2015-12-27,83748,6
597,2013-04-16,67186,3
598,2015-07-10,76686,7
599,2015-12-14,85870,5
600,2015-11-26,92792,7
601,2011-12-04,17486,3
602,2015-12-28,3232,5
603,2015-12-08,28321,1
604,2007-12-13,8809,10
605,2015-12-27,66725,8
606,2014-07-23,8375,7
607,2015-12-03,14608,7
608,2015-12-03,39238,2
609,2010-01-13,63805,3
610,2008-03-14,21254,6
611,2009-06-23,1266,8
612,2014-09-12,45079,6
613,2015-03-24,21418,7
614,2015-11-21,46206,1
615,2015-05-25,78404,1
616,2013-07-24,44289,7
617,2012-01-24,94534,10
618,2014-05-15,9317,7
619,2013-06-07,41647,9
620,2013-04-12,30561,9
621,2013-09-19,19416,2
622,2014-12-16,3934,5
623,2012-01-11,71494,8
624,2013-08-08,40046,6
625,2015-12-30,95056,1
626,2009-02-03,79205,8
627,2008-02-19,67591,6
628,2015-09-18,70073,6
629,2001-03-31,69894,8
630,2006-10-28,80274,1
631,2010-12-09,62071,4
632,2010-08-22,72301,3
633,2013-02-23,6048,10
634,2015-08-28,72979,4
635,2015-12-01,41576,2
636,2015-01-07,50065,2
637,2015-02-22,21642,9
638,2014-01-30,51667,5
639,2013-01-01,18453,2
640,2005-09-16,45730,9
641,2015-10-27,73085,4
642,2015-12-27,59832,5
643,2014-09-11,94850,4
644,2014-09-06,54588,9
645,2015-08-06,79706,2
646,2010-06-04,25918,2
647,2015-11-11,46302,10
648,2013-04-18,26352,5
649,2010-06-05,10670,4
650,2015-06-01,65342,4
651,2014-09-03,43554,7
652,2015-12-21,99980,1
653,2015-02-05,1230,5
654,2013-11-05,83019,3
655,2015-06-20,12016,7
656,2012-05-21,89208,10
657,2002-10-15,46041,2
658,2014-10-20,73201,5
659,2011-08-01,55894,4
660,2009-01-06,93109,3
661,2009-12-24,33243,5
662,2009-10-10,80311,10
663,2011-10-27,14699,4
664,2008-07-25,51229,6
665,2013-06-24,4806,4
666,2013-11-07,93435,9
667,2013-04-28,1231,7
668,2011-11-19,43624,4
669,2015-04-15,27960,8
670,2010-09-08,17146,7
671,2015-08-11,34348,10
672,2013-12-12,64323,8
673,2015-10-25,49337,5
674,2015-06-29,68359,2
675,2006-11-30,63993,4
676,2011-01-06,20280,6
677,2015-08-22,25691,4
678,2009-01-14,48,7
679,2014-08-01,66163,1
680,2015-09-18,94506,2
681,2012-03-26,37338,10
682,2015-07-19,17502,4
683,2014-07-04,11491,1
684,2013-03-15,76439,5
685,2011-07-19,97212,4
686,2010-10-25,25235,5
687,2015-11-20,72061,9
688,2014-05-17,59926,2
689,2008-04-12,2384,7
690,2015-05-12,12555,3
691,2007-04-25,76828,1
692,2014-04-03,45817,1
693,2014-08-30,93872,9
694,2010-07-19,79549,2
695,2011-10-19,72201,6
696,2006-05-03,82826,2
697,2013-08-21,256,4
698,2010-06-16,67545,3
699,2007-06-16,47539,2
700,2012-06-20,2446,1
701,2013-12-25,61134,1
702,2009-09-21,34858,4
703,2015-05-16,96598,7
704,2014-04-13,53767,8
705,2015-04-26,82962,4
706,2014-10-18,36851,5
707,2013-06-28,35958,5
708,2009-01-14,35307,6
709,2014-11-05,79853,3
710,2010-08-07,25939,2
711,2010-04-27,43202,10
712,2015-02-27,88656,7
713,2015-09-02,14987,10
714,2010-10-05,31747,1
715,2008-05-06,27283,5
716,2013-10-01,98562,5
717,2013-09-07,3875,6
718,2011-09-26,34420,5
719,2002-08-29,59084,2
720,2008-10-21,82216,10
721,2008-08-24,53747,6
722,2015-12-22,60978,8
723,2015-02-19,41401,9
724,2008-09-08,68036,8
725,2015-12-23,89414,8
726,2014-06-23,37637,2
727,2006-02-06,27250,1
728,2012-05-17,65809,4
729,2012-10-02,88975,2
730,2015-10-12,42221,1
731,2009-06-16,58839,7
732,2008-08-12,90373,1
733,2014-05-08,62445,1
734,2014-10-17,21412,7
735,2005-12-17,88626,7
736,2015-10-22,33326,2
737,2015-05-20,95399,9
738,2013-02-21,35517,3
739,2015-06-08,78042,4
740,2015-10-12,91639,10
741,2005-09-19,23663,10
742,2008-11-21,12136,8
743,2006-09-18,19788,3
744,2012-09-01,44609,10
745,2014-12-31,73633,6
746,2009-05-29,34541,3
747,2013-01-11,23218,6
748,2014-03-08,30252,3
749,2015-07-02,24354,1
750,2013-01-09,96046,1
751,2015-12-28,88734,10
752,2013-09-12,54093,8
753,2015-06-03,44643,10
754,2015-06-05,94151,5
755,2015-08-30,64588,5
756,2014-07-18,99063,4
757,2010-10-08,85372,10
758,2008-08-20,41135,8
759,2003-11-19,3941,1
760,2015-09-02,59348,6
761,2012-03-23,74291,3
762,2014-12-18,53654,10
763,2015-05-26,64953,8
764,2010-07-13,19627,8
765,2008-03-16,40053,4
766,2012-08-04,84231,1
767,2008-09-05,84353,4
768,2012-01-20,77273,4
769,2015-10-10,73497,2
770,2004-12-05,25125,8
771,2013-09-27,15973,5
772,2014-12-08,91674,10
773,2014-10-12,7522,4
774,2014-07-09,51215,3
775,2014-05-08,87217,10
776,2013-02-14,2687,10
777,2015-05-19,41403,3
778,2010-02-11,17213,8
779,2012-06-01,56383,2
780,2014-03-27,35478,5
781,2015-02-28,10266,1
782,2013-03-02,73218,1
783,2004-07-19,70802,8
784,2015-06-15,13350,8
785,2012-07-07,53375,5
786,2014-07-07,69130,7
787,2010-11-21,30198,5
788,2009-03-30,95474,6
789,2014-09-18,76692,1
790,2012-02-01,48219,4
791,2010-11-17,99683,9
792,2013-11-04,99763,4
793,2013-08-10,3052,5
794,2015-07-09,8949,2
795,2015-03-20,49753,10
796,2015-04-24,33696,10
797,2015-04-20,22725,6
798,2015-04-17,42004,1
799,2013-12-29,44131,1
800,2012-05-07,63944,9
801,2012-07-07,45864,2
802,2010-12-11,69098,6
803,2013-09-17,74166,6
804,2006-02-14,77940,7
805,2011-08-21,93125,4
806,2012-06-04,39879,5
807,2009-07-16,55824,6
808,2003-03-10,19943,6
809,2006-01-20,40346,7
810,2015-04-03,45811,3
811,2013-09-14,21211,4
812,2010-06-16,5727,9
813,2012-06-24,29195,10
814,2008-02-01,22640,10
815,2012-12-11,66089,10
816,2013-12-17,63891,9
817,2012-11-30,11080,8
818,2015-08-08,97370,5
819,2015-07-15,90167,9
820,2008-12-20,72692,3
821,2010-05-25,74699,3
822,2015-12-03,65928,6
823,2015-11-19,79756,4
824,2014-05-05,10158,10
825,2012-12-06,38713,4
826,2013-07-19,7850,7
827,2014-05-21,71800,5
828,2015-09-28,79366,4
829,2012-01-09,4606,8
830,2007-06-18,87114,9
831,2015-11-01,14295,6
832,2015-07-13,46651,6
833,2007-10-13,26355,3
834,2010-12-12,67469,6
835,2010-05-22,86894,9
836,2008-10-27,84646,6
837,2015-11-02,34042,3
838,2014-06-30,68081,2
839,2010-09-10,41290,7
840,2008-06-28,69660,10
841,2014-12-19,85853,8
842,2010-06-06,92814,6
843,2014-02-13,81989,5
844,2002-07-23,91080,6
845,2004-09-10,82964,6
846,2014-09-13,83383,3
847,2013-09-04,95938,6
848,2008-01-27,5683,3
849,2009-09-01,6142,2
850,2012-12-15,39608,3
851,2015-01-11,2062,7
852,2010-04-11,35710,4
853,2006-05-27,30372,9
854,2007-09-04,36695,4
855,2015-12-25,91839,9
856,2009-08-11,24356,2
857,2014-02-11,5339,6
858,2011-05-16,82548,5
859,2015-03-19,43318,3
860,2015-03-31,82363,2
861,2015-12-11,6176,10
862,2014-10-08,47914,8
863,2015-11-09,32222,5
864,2015-07-22,9969,6
865,2005-09-12,14011,5
866,2015-07-02,61742,6
867,2015-12-29,13068,4
868,2012-01-03,27440,9
869,2015-03-31,61790,9
870,2015-12-12,48237,10
871,2014-09-10,58335,3
872,2014-08-25,29980,7
873,2011-01-15,58885,3
874,2015-11-28,35983,3
875,2015-11-25,76287,10
876,2012-01-04,4081,10
877,2012-07-19,82358,2
878,2015-05-30,16440,6
879,2014-11-19,73631,8
880,2015-07-04,51975,5
881,2015-11-30,61408,2
882,2015-05-29,69763,4
883,2015-03-07,72092,9
884,2014-05-09,26000,9
885,2015-03-29,32285,1
886,2005-11-27,59303,7
887,2015-09-05,87933,5
888,2010-02-02,71062,5
889,2014-11-19,84273,3
890,2015-10-12,59348,2
891,2007-06-14,41715,5
892,2007-02-21,10271,6
893,2013-12-30,42602,4
894,2011-10-27,25684,6
895,2015-09-08,408,1
896,2014-08-26,31530,10
897,2014-11-09,96608,5
898,2012-11-15,8780,10
899,2015-08-18,5585,9
900,2015-03-30,29489,5
901,2013-07-25,8244,1
902,2014-07-16,29818,8
903,2004-10-29,18030,3
904,2006-08-01,25223,10
905,2007-01-10,14514,7
906,2015-10-05,33782,9
907,2014-04-24,89286,9
908,2005-05-06,8985,8
909,2015-07-09,39920,8
910,2006-11-21,68019,7
911,2013-09-01,39390,1
912,2014-07-14,86607,7
913,2013-06-03,31375,2
914,2015-12-08,44348,4
915,2015-02-21,1728,8
916,2008-04-21,26761,5
917,2002-10-25,69814,1
918,2014-12-29,64409,1
919,2011-03-14,46117,6
920,2013-10-08,23267,2
921,2013-09-22,69148,6
922,2002-04-13,42185,7
923,2009-07-28,30382,5
924,2005-09-20,22707,1
925,2014-11-14,12061,4
926,2014-06-14,49672,6
927,2015-09-22,98756,6
928,2011-04-10,31080,6
929,2015-10-18,74177,9
930,2015-01-22,62088,2
931,2015-10-15,84285,3
932,2014-05-10,69418,1
933,2008-01-23,31642,6
934,2015-06-04,19449,4
935,2013-04-04,26840,1
936,2013-01-27,38110,2
937,2010-06-15,26787,8
938,2008-02-01,66050,2
939,2011-05-12,49981,10
940,2015-08-21,161,6
941,2004-04-18,53795,10
942,2006-06-16,36455,5
943,2015-11-11,895,5
944,2015-08-23,53866,6
945,2009-01-01,68394,8
946,2009-07-09,59139,4
947,2014-12-22,87003,4
948,2015-12-05,37194,6
949,2015-06-16,23857,5
950,2013-10-29,44621,6
951,2015-01-10,99705,9
952,2014-06-27,56940,1
953,2008-09-02,86140,3
954,2008-08-05,48821,10
955,2015-08-09,61095,7
956,2013-06-22,26999,5
957,2013-09-25,87672,6
958,2015-07-17,37637,10
959,2001-02-13,2371,10
960,2013-10-12,74089,3
961,2007-09-15,37086,7
962,2015-12-24,71169,8
963,2015-12-29,98063,4
964,2013-04-10,49211,10
965,2015-04-23,48112,8
966,2011-03-06,88265,8
967,2013-12-02,27644,5
968,2014-11-10,11137,9
969,2015-10-21,73689,1
970,2011-06-28,98420,4
971,2003-11-27,45442,5
972,2015-05-25,16809,5
973,2011-07-14,25999,1
974,2015-08-30,75445,6
975,2010-09-24,42819,4
976,2011-11-17,24921,1
977,2015-12-21,47218,2
978,2003-05-26,76759,8
979,2015-10-26,90605,3
980,2011-10-24,1330,7
981,2013-10-08,55500,10
982,2014-11-30,39138,2
983,2013-12-04,19062,1
984,2010-02-23,76849,9
985,2012-12-18,7152,2
986,2008-07-30,68885,7
987,2013-02-01,20288,3
988,2008-03-20,2890,10
989,2014-09-27,14940,3
990,2015-10-29,43659,6
991,2008-06-30,17428,8
992,2008-08-11,95341,2
993,2015-02-12,33273,1
994,2007-10-16,86393,7
995,2014-11-04,21416,8
996,2015-06-06,83971,5
997,2015-08-26,50455,10
998,2012-05-30,15595,9
