id,created_on,creator_id,content_id
123,2015-04-25,366,2
124,2003-05-10,27,2
125,2006-04-19,826,2
126,2013-02-21,246,1
127,2009-12-15,993,2
128,2013-08-07,225,4
129,2015-03-23,953,1
130,2012-09-10,913,1
131,2012-09-15,665,2
132,2009-10-11,148,2
133,2015-04-01,918,3
134,2003-02-06,606,4
135,2014-03-28,831,3
136,2012-10-21,698,1
137,2007-12-17,715,1
138,2014-05-31,686,3
139,2015-09-12,211,2
140,2013-10-20,136,4
141,2009-10-02,713,1
142,2014-10-11,495,2
143,2014-03-24,823,3
144,2013-12-30,562,3
145,2012-08-26,733,4
146,2014-02-16,573,1
147,2010-03-29,266,3
148,2014-12-28,851,4
149,2015-12-03,651,2
150,2012-11-16,925,4
151,2012-06-12,394,1
152,2007-10-22,535,2
153,2009-09-20,478,1
154,2006-08-12,884,4
155,2012-12-31,200,3
156,2013-02-23,608,2
157,2012-10-25,438,1
158,2011-02-10,43,1
159,2008-11-30,656,4
160,2009-12-26,222,2
161,2013-05-28,383,2
162,2007-09-18,238,4
163,2014-10-14,989,1
164,2015-02-14,165,1
165,2011-09-02,136,1
166,2009-02-27,535,4
167,2012-01-25,257,3
168,2011-10-17,170,3
169,2014-09-13,217,1
170,2007-01-06,39,4
171,2013-08-28,106,1
172,2005-09-13,790,4
173,2004-08-15,555,2
174,2011-08-29,494,2
175,2015-04-18,422,3
176,2008-12-02,993,2
177,2015-07-15,996,4
178,2014-12-09,413,4
179,2011-07-24,536,3
180,2015-11-02,863,1
181,2002-07-18,168,4
182,2014-04-04,419,2
183,2015-06-29,551,2
184,2013-11-18,518,1
185,2014-08-31,632,4
186,2011-07-06,196,1
187,2004-01-17,293,2
188,2015-09-08,38,1
189,2008-02-28,614,3
190,2006-09-20,691,1
191,2012-04-21,582,1
192,2014-03-24,631,3
193,2014-10-07,382,1
194,2013-03-10,289,2
195,2015-09-21,853,1
196,2008-05-21,942,1
197,2015-11-03,215,4
198,2012-11-05,555,1
199,2013-12-25,73,4
200,2015-10-07,999,2
201,2013-07-17,119,4
202,2014-07-10,135,3
203,2015-08-09,21,4
204,2015-04-07,139,4
205,2015-01-13,754,1
206,2015-12-31,334,4
207,2015-12-11,259,2
208,2015-05-26,932,3
209,2013-09-22,484,4
210,2015-03-27,180,3
211,2013-05-11,504,4
212,2007-01-08,172,3
213,2009-04-12,633,4
214,2012-05-11,99,1
215,2006-08-26,987,2
216,2008-11-26,921,3
217,2014-10-21,411,2
218,2009-02-23,931,4
219,2014-10-31,926,3
220,2011-10-03,675,1
221,2014-10-14,164,3
222,2015-11-20,765,3
223,2011-10-08,195,3
224,2013-04-21,940,3
225,2015-03-28,159,3
226,2009-10-14,138,3
227,2014-08-31,311,3
228,2015-07-27,766,2
229,2015-01-15,819,4
230,2008-06-22,120,3
231,2014-07-21,425,1
232,2008-12-13,152,3
233,2013-02-09,551,4
234,2011-09-02,477,3
235,2014-06-20,923,4
236,2015-05-08,569,2
237,2014-10-25,623,4
238,2007-07-11,273,2
239,2014-04-11,928,3
240,2009-10-11,299,3
241,2006-02-10,693,2
242,2010-02-10,248,4
243,2010-11-12,916,3
244,2011-03-01,937,3
245,2012-01-20,896,2
246,2012-03-07,181,3
247,2015-07-18,63,2
248,2011-01-26,536,1
249,2011-04-25,568,2
250,2013-10-10,600,2
251,2015-12-06,66,1
252,2012-12-18,337,3
253,2015-05-28,791,2
254,2013-07-27,416,4
255,2007-08-29,39,4
256,2015-09-05,909,3
257,2013-06-20,553,4
258,2011-10-20,137,2
259,2011-08-22,500,1
260,2013-06-15,159,3
261,2015-12-28,876,1
262,2015-03-26,655,1
263,2014-05-27,944,4
264,2012-08-25,21,3
265,2015-04-23,480,3
266,2009-08-27,73,3
267,2011-03-06,284,4
268,2002-03-12,951,4
269,2007-04-22,752,2
270,2009-10-06,558,4
271,2008-09-16,844,4
272,2015-02-15,374,4
273,2014-10-21,287,3
274,2015-12-09,66,4
275,2014-10-30,11,1
276,2012-07-26,798,3
277,2015-09-29,875,4
278,2012-03-14,250,2
279,2014-05-17,690,4
280,2015-03-16,643,3
281,2012-01-09,5,4
282,2014-11-23,699,4
283,2015-07-07,848,1
284,2015-07-05,679,1
285,2015-12-20,7,3
286,2012-04-25,823,4
287,2007-09-10,682,2
288,2013-07-12,586,1
289,2015-10-31,956,2
290,2014-07-07,935,1
291,2015-07-12,781,4
292,2010-01-22,152,4
293,2005-04-21,98,4
294,2013-04-05,137,1
295,2013-07-17,782,3
296,2007-03-12,927,4
297,2010-12-01,243,3
298,2010-11-29,883,2
299,2009-11-15,777,1
300,2014-10-21,725,2
301,2015-04-09,791,3
302,2015-06-22,573,2
303,2014-08-08,367,1
304,2014-11-13,381,1
305,2006-04-25,826,2
306,2009-09-19,923,3
307,2015-11-30,533,3
308,2015-09-25,499,2
309,2012-10-01,356,1
310,2015-06-18,592,3
311,2005-03-26,59,2
312,2014-07-07,619,4
313,2014-09-19,468,4
314,2007-05-22,556,2
315,2015-03-11,842,3
316,2014-11-12,141,2
317,2012-03-05,124,2
318,2011-11-02,247,4
319,2015-06-12,461,3
320,2015-11-18,699,1
321,2001-10-12,608,3
322,2009-10-24,995,1
323,2008-06-08,552,4
324,2012-07-04,497,2
325,2015-05-28,934,3
326,2010-05-31,477,4
327,2014-04-22,980,3
328,2014-11-11,124,2
329,2015-09-04,446,2
330,2015-06-24,307,1
331,2014-01-14,584,1
332,2013-08-31,355,4
333,2015-05-28,130,4
334,2008-03-08,415,3
335,2015-11-27,241,3
336,2015-02-15,337,1
337,2011-02-04,815,3
338,2007-01-29,682,1
339,2014-01-31,650,2
340,2010-01-12,16,1
341,2015-05-07,226,2
342,2014-04-10,41,3
343,2015-07-30,284,3
344,2015-03-10,46,1
345,2013-04-17,196,2
346,2015-09-21,387,4
347,2006-09-10,871,3
348,2015-08-08,507,4
349,2013-11-04,510,3
350,2010-07-04,257,4
351,2014-09-17,318,2
352,2004-12-29,497,3
353,2006-10-21,749,2
354,2004-11-19,84,4
355,2012-04-15,463,2
356,2015-05-26,10,3
357,2014-09-27,614,2
358,2008-08-14,466,4
359,2012-05-17,136,2
360,2009-03-19,837,3
361,2014-07-21,506,2
362,2011-04-27,161,4
363,2010-08-17,331,4
364,2015-10-09,50,2
365,2015-01-20,323,1
366,2012-08-22,858,3
367,2010-04-28,298,3
368,2011-12-04,288,3
369,2013-01-16,717,1
370,2009-08-05,911,2
371,2014-10-07,971,1
372,2004-10-20,893,4
373,2014-09-14,37,4
374,2015-03-19,132,4
375,2011-11-01,356,3
376,2015-09-19,910,3
377,2012-04-26,973,4
378,2012-12-04,673,4
379,2012-07-10,935,4
380,2006-04-06,322,1
381,2015-01-17,645,2
382,2008-07-24,261,1
383,2014-09-18,615,3
384,2011-09-12,611,4
385,2015-12-18,627,4
386,2015-08-15,268,1
387,2014-03-09,457,1
388,2013-05-27,716,3
389,2011-10-03,172,2
390,2006-08-06,802,4
391,2014-12-06,548,4
392,2015-06-22,147,3
393,2012-09-12,136,3
394,2011-10-20,638,2
395,2010-02-18,216,3
396,2003-11-27,576,4
397,2012-08-14,297,4
398,2014-01-22,703,1
399,2015-12-10,722,3
400,2013-07-21,692,2
401,2013-12-10,364,3
402,2015-03-18,202,1
403,2012-04-23,694,4
404,2003-11-07,251,4
405,2015-10-23,533,1
406,2003-01-12,417,2
407,2006-12-31,203,1
408,2011-03-13,881,3
409,2013-08-23,663,1
410,2015-12-05,276,3
411,2008-07-10,154,1
412,2015-12-19,976,3
413,2015-12-29,498,2
414,2015-11-22,252,2
415,2012-10-06,495,2
416,2009-05-25,776,4
417,2010-11-17,882,1
418,2015-03-10,626,1
419,2006-11-08,862,2
420,2008-06-28,661,2
421,2009-01-18,70,4
422,2005-01-19,92,3
423,2013-04-27,646,2
424,2007-01-05,677,3
425,2014-09-22,758,4
426,2007-10-22,864,1
427,2011-01-12,65,1
428,2011-09-27,806,2
429,2015-02-05,836,4
430,2015-03-28,975,2
431,2009-06-05,466,4
432,2015-05-08,588,3
433,2007-07-18,147,3
434,2013-02-02,771,3
435,2015-01-01,805,3
436,2014-07-23,704,3
437,2013-06-19,331,4
438,2010-06-09,856,1
439,2011-06-06,529,2
440,2011-08-19,873,3
441,2013-06-02,786,4
442,2013-04-03,350,2
443,2015-11-13,385,3
444,2000-09-19,951,1
445,2015-11-18,867,4
446,2013-02-16,164,3
447,2013-01-07,926,2
448,2006-07-14,818,3
449,2013-09-16,731,3
450,2010-08-19,15,3
451,2013-03-30,502,1
452,2008-08-28,591,3
453,2010-10-24,638,2
454,2015-05-05,760,2
455,2014-09-22,184,4
456,2013-08-18,123,1
457,2005-02-17,358,2
458,2013-08-23,281,1
459,2015-03-04,341,3
460,2013-01-20,173,2
461,2015-08-31,676,2
462,2015-08-21,89,2
463,2012-02-14,856,1
464,2013-04-30,984,3
465,2007-05-26,660,3
466,2009-07-12,954,1
467,2015-03-02,46,3
468,2015-08-12,494,1
469,2015-06-06,917,4
470,2015-06-24,841,4
471,2015-12-29,455,2
472,2015-01-02,965,2
473,2013-06-24,878,3
474,2006-02-10,38,3
475,2009-09-18,578,1
476,2010-04-11,429,3
477,2012-02-25,178,2
478,2011-11-14,799,3
479,2015-11-12,836,2
480,2008-08-16,248,3
481,2010-05-27,172,2
482,2009-11-14,609,3
483,2014-02-11,721,4
484,2011-10-01,825,4
485,2015-12-22,635,2
486,2008-09-27,231,4
487,2013-06-04,273,2
488,2009-10-28,821,3
489,2015-07-07,831,1
490,2011-02-28,728,1
491,2015-05-21,316,3
492,2012-10-10,924,3
493,2015-03-18,513,4
494,2015-12-30,876,4
495,2004-06-11,726,1
496,2015-03-29,320,4
497,2014-12-07,63,3
498,2015-01-31,631,2
499,2010-02-20,643,4
500,2010-03-02,228,1
501,2012-11-24,157,3
502,2012-08-05,173,1
503,2011-03-20,363,1
504,2015-08-19,429,4
505,2014-09-16,596,2
506,2013-04-25,796,4
507,2007-02-07,815,1
508,2015-04-21,956,4
509,2013-10-09,998,1
510,2013-11-27,60,3
511,2010-02-22,625,4
512,2013-08-12,370,3
513,2015-11-22,351,3
514,2013-11-28,953,4
515,2015-11-28,208,4
516,2004-09-14,866,2
517,2013-11-04,805,1
518,2015-10-05,599,4
519,2010-09-12,449,2
520,2007-10-02,227,3
521,2013-11-10,361,3
522,2007-07-30,349,3
523,2014-11-07,614,2
524,2011-12-10,755,2
525,2014-04-08,516,2
526,2014-05-22,282,4
527,2012-01-29,547,2
528,2014-08-30,972,3
529,2004-12-19,490,2
530,2015-08-01,547,2
531,2010-07-27,691,1
532,2011-03-05,777,4
533,2015-10-19,873,2
534,2011-06-19,610,2
535,2013-12-24,127,3
536,2014-02-26,481,2
537,2014-04-01,138,4
538,2015-10-27,976,3
539,2011-03-15,246,4
540,2012-09-01,339,3
541,2013-12-10,359,2
542,2011-10-07,291,1
543,2006-01-20,886,4
544,2013-04-29,408,4
545,2015-12-22,531,1
546,2012-08-06,216,3
547,2011-06-22,657,2
548,2014-05-11,756,3
549,2015-08-14,565,1
550,2015-12-11,754,1
551,2015-12-25,1000,4
552,2005-07-07,885,4
553,2015-12-09,540,2
554,2015-11-16,96,1
555,2015-04-21,259,3
556,2012-10-08,946,1
557,2015-07-22,563,4
558,2013-10-14,506,4
559,2006-04-05,790,4
560,2014-10-30,244,2
561,2008-09-08,894,3
562,2010-09-09,260,1
563,2014-12-16,166,2
564,2006-06-25,959,4
565,2011-03-30,123,2
566,2006-05-19,914,3
567,2015-06-30,129,4
568,2006-10-02,74,3
569,2015-07-20,938,3
570,2007-07-22,562,3
571,2012-06-29,657,1
572,2012-11-23,722,1
573,2000-08-28,749,4
574,2015-12-05,340,3
575,2007-07-17,681,3
576,2003-02-04,787,3
577,2012-07-17,392,2
578,2008-10-15,60,4
579,2006-10-09,662,2
580,2011-06-08,503,2
581,2014-10-25,137,3
582,2014-04-10,110,1
583,2014-06-16,94,4
584,2009-03-15,323,3
585,2015-06-25,216,4
586,2015-02-14,921,1
587,2011-06-12,932,1
588,2015-04-23,817,3
589,2007-05-19,992,4
590,2000-12-15,877,2
591,2009-12-31,777,3
592,2012-10-24,696,1
593,2014-10-12,444,1
594,2015-03-24,940,4
595,2014-08-10,380,1
596,2015-03-24,958,1
597,2007-01-24,898,4
598,2015-01-29,684,1
599,2011-05-02,963,3
600,2001-11-12,582,4
601,2008-09-05,907,3
602,2005-03-22,690,3
603,2015-11-17,175,2
604,2014-07-29,961,2
605,2009-03-19,664,4
606,2014-06-11,480,3
607,2011-04-24,500,3
608,2012-03-24,81,4
609,2014-05-25,422,2
610,2015-01-29,191,4
611,2014-09-30,549,2
612,2012-10-06,961,3
613,2012-08-14,363,4
614,2007-03-28,965,2
615,2014-10-20,284,2
616,2003-05-18,86,2
617,2014-08-09,494,1
618,2013-03-30,344,4
619,2013-04-17,599,1
620,2014-08-30,688,1
621,2009-11-18,546,2
622,2015-11-05,169,4
623,2015-09-06,268,1
624,2012-09-22,553,4
625,2015-08-22,19,2
626,2015-03-28,194,1
627,2015-02-28,517,4
628,2015-07-26,12,1
629,2015-04-11,334,4
630,2005-08-31,815,3
631,2009-10-17,980,1
632,2011-08-18,367,4
633,2012-12-23,5,4
634,2015-10-24,208,1
635,2015-10-21,952,4
636,2007-01-05,337,1
637,2006-02-07,313,3
638,2004-06-18,293,3
639,2015-05-11,597,2
640,2011-11-09,68,1
641,2014-08-18,93,4
642,2009-05-09,936,4
643,2015-05-24,560,3
644,2013-05-31,683,1
645,2013-03-11,305,3
646,2011-01-24,406,4
647,2004-03-29,216,1
648,2015-01-12,621,4
649,2007-12-05,460,3
650,2015-11-11,526,1
651,2008-05-20,358,4
652,2014-11-24,456,2
653,2008-02-29,593,2
654,2014-03-02,655,2
655,2008-07-24,837,2
656,2013-11-19,318,1
657,2012-02-04,546,3
658,2015-04-09,278,4
659,2015-03-06,970,2
660,2005-10-21,778,4
661,2010-01-12,239,4
662,2014-11-20,517,2
663,2013-11-06,812,2
664,2015-12-18,635,3
665,2005-09-28,200,1
666,2005-05-15,965,1
667,2015-04-07,221,2
668,2013-07-19,584,4
669,2011-10-13,398,1
670,2012-11-14,717,3
671,2003-12-25,830,3
672,2004-12-31,258,4
673,2014-10-17,78,3
674,2014-03-28,319,2
675,2012-02-02,286,3
676,2014-12-02,734,3
677,2014-11-10,941,3
678,2009-11-13,433,2
679,2011-09-30,796,1
680,2005-07-16,727,1
681,2015-10-16,308,1
682,2013-03-11,9,2
683,2007-10-09,368,1
684,2009-03-29,135,3
685,2015-10-17,421,2
686,2015-08-05,952,1
687,2015-10-08,997,3
688,2012-11-24,654,2
689,2014-03-19,971,1
690,2014-12-21,512,1
691,2014-12-19,641,2
692,2011-12-31,545,1
693,2009-01-23,718,1
694,2014-12-08,294,2
695,2008-02-25,43,2
696,2015-12-27,236,1
697,2015-07-30,268,2
698,2014-09-09,895,4
699,2015-11-25,332,3
700,2011-07-05,600,3
701,2014-11-20,409,2
702,2008-12-27,398,1
703,2003-12-26,286,3
704,2015-07-11,181,1
705,2012-12-21,599,3
706,2012-01-04,228,2
707,2014-05-16,895,2
708,2015-11-30,360,4
709,2013-05-26,998,4
710,2015-12-02,750,2
711,2010-05-15,239,3
712,2015-03-30,622,3
713,2008-09-24,829,2
714,2010-08-28,267,2
715,2007-07-16,629,3
716,2004-08-02,911,2
717,2014-08-23,814,1
718,2012-02-23,835,2
719,2011-03-10,229,2
720,2005-10-06,123,2
721,2015-09-28,413,3
722,2015-06-02,312,3
723,2013-12-18,812,2
724,2011-02-07,64,4
725,2013-10-09,873,1
726,2005-07-11,784,2
727,2014-02-19,258,1
728,2004-12-02,881,4
729,2014-07-29,986,3
730,2015-02-12,488,2
731,2014-08-07,934,1
732,2013-01-28,184,1
733,2009-08-30,408,4
734,2013-06-18,322,4
735,2009-12-23,773,2
736,2007-03-23,868,2
737,2012-06-17,770,4
738,2012-05-04,200,1
739,2014-12-01,692,2
740,2015-08-14,875,4
741,2013-12-05,948,2
742,2014-06-09,710,2
743,2014-10-06,352,4
744,2012-09-20,913,3
745,2015-06-06,471,4
746,2012-12-20,619,3
747,2010-06-02,149,2
748,2014-10-30,798,4
749,2011-11-24,524,4
750,2012-04-30,616,2
751,2013-06-07,92,1
752,2010-06-08,588,2
753,2015-02-21,665,4
754,2008-08-13,23,1
755,2000-02-03,618,3
756,2006-01-14,886,3
757,2009-05-25,74,4
758,2014-10-09,220,3
759,2011-03-29,647,1
760,2014-05-09,282,4
761,2015-07-30,288,3
762,2014-03-09,47,2
763,2007-08-21,356,1
764,2013-03-09,271,4
765,2014-08-13,261,1
766,2014-07-22,288,4
767,2015-08-19,628,1
768,2006-07-05,479,4
769,2013-07-03,118,1
770,2014-09-11,817,3
771,2013-03-24,51,4
772,2008-08-16,262,1
773,2014-07-30,487,3
774,2014-03-01,631,1
775,2015-11-26,657,3
776,2014-12-14,80,2
777,2013-04-11,658,1
778,2014-04-02,249,4
779,2007-10-18,432,2
780,2013-03-20,222,3
781,2005-02-23,432,2
782,2012-04-25,783,3
783,2014-02-24,137,2
784,2012-07-20,481,4
785,2012-08-04,469,1
786,2015-06-06,179,4
787,2004-12-16,739,2
788,2009-06-30,725,2
789,2015-08-09,663,1
790,2015-02-04,795,4
791,2014-09-23,716,2
792,2014-12-22,735,2
793,2015-09-24,400,1
794,2015-12-11,628,2
795,2013-01-04,141,4
796,2013-07-22,615,1
797,2012-05-26,599,1
798,2013-03-13,64,4
799,2000-09-08,193,4
800,2008-10-27,263,3
801,2005-03-20,858,2
802,2011-04-11,321,2
803,2014-03-18,974,3
804,2015-10-04,177,2
805,2015-11-10,759,3
806,2015-12-25,515,2
807,2012-01-04,10,3
808,2014-11-16,740,4
809,2007-08-21,262,2
810,2013-11-08,357,4
811,2010-11-03,878,2
812,2009-03-22,558,2
813,2009-07-13,728,1
814,2006-03-18,608,3
815,2014-08-08,30,2
816,2010-08-18,627,1
817,2008-12-15,546,3
818,2012-09-06,222,4
819,2014-09-01,407,3
820,2011-11-11,20,4
821,2014-10-09,754,3
822,2003-04-15,347,4
823,2015-03-06,175,1
824,2011-11-04,433,4
825,2012-11-10,520,3
826,2015-03-29,183,4
827,2003-12-04,960,3
828,2015-10-09,375,3
829,2014-10-29,462,4
830,2013-01-19,986,1
831,2014-03-15,693,4
832,2007-02-08,242,1
833,2010-10-09,136,3
834,2015-04-05,534,1
835,2006-09-07,83,4
836,2010-05-04,436,3
837,2013-09-03,197,3
838,2014-04-05,888,3
839,2012-11-10,25,1
840,2012-04-07,891,3
841,2011-02-28,155,2
842,2015-02-02,647,2
843,2008-03-22,448,2
844,2007-02-22,830,1
845,2010-05-21,366,3
846,2014-09-04,499,2
847,2015-11-15,338,4
848,2014-05-26,736,3
849,2004-08-09,753,4
850,2014-08-05,526,3
851,2008-02-22,862,4
852,2013-09-30,716,1
853,2012-03-09,170,1
854,2012-11-15,390,1
855,2012-12-03,418,3
856,2010-04-30,630,2
857,2014-12-29,370,2
858,2015-01-04,264,2
859,2014-03-02,679,3
860,2015-01-10,680,4
861,2015-07-30,499,1
862,2014-02-14,638,2
863,2015-04-26,129,3
864,2015-03-18,169,3
865,2009-02-19,823,3
866,2008-12-25,594,3
867,2011-05-19,60,4
868,2007-08-12,487,2
869,2014-05-04,567,3
870,2013-04-07,752,3
871,2006-01-20,47,2
872,2012-10-26,6,4
873,2015-01-20,857,3
874,2006-01-10,303,4
875,2011-07-22,180,3
876,2014-08-05,727,1
877,2013-09-26,305,3
878,2015-10-30,544,4
879,2009-09-13,885,2
880,2011-04-07,466,4
881,2009-04-02,520,2
882,2015-06-01,941,2
883,2015-02-11,888,1
884,2015-06-14,3,4
885,2009-01-12,711,1
886,2004-01-22,787,4
887,2010-09-17,292,2
888,2007-03-18,784,3
889,2015-02-24,349,3
890,2015-02-27,48,1
891,2005-03-28,738,2
892,2015-12-18,96,2
893,2015-05-07,428,1
894,2005-10-07,277,4
895,2014-03-09,140,3
896,2013-09-09,629,4
897,2013-07-13,288,1
898,2015-10-02,996,2
899,2006-09-11,112,1
900,2014-07-10,314,3
901,2015-09-28,455,1
902,2010-04-14,490,3
903,2015-08-09,989,2
904,2007-05-03,806,2
905,2014-12-11,857,1
906,2010-10-26,598,2
907,2014-04-24,740,2
908,2014-06-26,175,1
909,2015-06-18,192,4
910,2006-07-01,688,2
911,2015-10-07,720,3
912,2012-09-15,919,1
913,2007-08-08,193,3
914,2010-12-28,642,2
915,2014-02-13,798,2
916,2014-02-22,274,4
917,2013-06-16,921,4
918,2008-08-22,954,1
919,2014-02-27,453,4
920,2015-09-14,781,1
921,2014-08-06,17,4
922,2005-11-10,509,4
923,2015-07-18,743,3
924,2015-04-23,312,4
925,2012-12-04,418,1
926,2009-03-28,685,1
927,2006-12-02,318,2
928,2015-11-13,757,2
929,2013-09-29,17,3
930,2008-01-04,668,2
931,2012-02-15,935,3
932,2014-12-13,902,3
933,2015-05-13,75,4
934,2015-08-14,46,2
935,2004-01-19,417,4
936,2010-01-15,114,4
937,2014-01-05,898,4
938,2008-09-05,802,4
939,2015-11-14,54,1
940,2012-09-18,536,1
941,2014-08-10,789,4
942,2006-08-13,689,1
943,2015-11-17,177,1
944,2015-04-03,289,4
945,2012-08-09,403,3
946,2014-06-15,605,1
947,2014-04-02,494,3
948,2008-03-23,394,4
949,2015-11-28,177,1
950,2015-12-13,843,3
951,2015-04-30,445,1
952,2014-02-03,311,3
953,2015-01-08,78,2
954,2014-05-05,329,4
955,2014-02-27,679,2
956,2012-10-20,785,2
957,2014-03-23,670,4
958,2014-11-15,480,2
959,2014-02-21,599,1
960,2013-10-16,633,3
961,2014-03-09,860,1
962,2013-08-25,26,4
963,2010-07-23,713,1
964,2015-04-27,202,4
965,2010-10-11,173,1
966,2011-01-03,308,3
967,2013-02-06,685,2
968,2015-11-16,274,2
969,2010-07-06,603,1
970,2013-12-26,565,1
971,2014-08-31,740,4
972,2010-11-25,1000,1
973,2013-05-21,712,2
974,2014-04-10,589,3
975,2015-09-13,434,4
976,2011-10-13,239,2
977,2011-12-01,766,1
978,2013-12-24,526,3
979,2013-12-15,170,1
980,2012-06-17,529,2
981,2014-09-18,277,1
982,2006-07-30,542,1
983,2015-04-02,453,3
984,2010-12-21,973,4
985,2009-11-18,277,2
986,2012-12-16,187,2
987,2015-02-14,971,2
988,2006-11-25,242,2
989,2013-12-22,319,4
990,2014-08-16,29,3
991,2009-03-22,47,3
992,2012-09-14,120,2
993,2012-02-10,879,2
994,2015-11-25,870,1
995,2014-12-08,438,3
996,2011-11-15,773,3
997,2015-12-23,772,3
998,2014-07-31,813,4
999,2015-06-13,376,2
1000,2013-09-22,14,2
1001,2014-07-26,702,1
1002,2013-12-24,942,2
1003,2014-08-29,565,3
1004,2013-07-07,553,4
1005,2015-02-20,495,2
1006,2000-10-24,27,1
1007,2007-06-21,449,3
1008,2014-09-05,961,1
1009,2013-11-03,194,1
1010,2014-08-31,470,1
1011,2012-07-06,305,2
1012,2015-05-14,81,3
1013,2015-08-20,63,2
1014,2014-07-19,324,3
1015,2015-06-06,91,2
1016,2012-01-26,415,4
1017,2006-08-17,964,2
1018,2015-12-12,843,4
1019,2002-08-31,865,4
1020,2005-06-06,858,4
1021,2013-10-07,900,3
1022,2015-12-29,635,2
1023,2007-05-18,718,2
1024,2010-09-28,733,4
1025,2008-12-14,364,2
1026,2015-09-17,81,4
1027,2007-10-02,550,3
1028,2009-03-17,281,1
1029,2010-04-14,896,3
1030,2014-12-22,599,2
1031,2015-09-29,370,4
1032,2011-09-13,798,2
1033,2011-06-13,586,1
1034,2014-12-24,765,1
1035,2011-04-26,346,3
1036,2015-08-11,306,4
1037,2012-02-06,755,4
1038,2014-06-06,699,2
1039,2014-05-30,232,1
1040,2015-09-25,439,4
1041,2015-07-18,712,2
1042,2008-01-21,371,3
1043,2015-09-04,539,4
1044,2015-02-05,153,3
1045,2005-06-29,885,1
1046,2012-12-12,715,3
1047,2006-01-23,337,3
1048,2010-08-05,973,1
1049,2015-04-11,765,1
1050,2015-05-02,961,2
1051,2013-01-14,731,1
1052,2002-07-11,587,2
1053,2014-01-24,375,4
1054,2012-04-17,340,1
1055,2015-12-21,732,2
1056,2014-01-02,293,1
1057,2009-08-17,858,3
1058,2015-11-19,521,2
1059,2008-09-15,138,4
1060,2013-02-01,309,2
1061,2014-11-16,794,2
1062,2013-12-22,740,1
1063,2014-10-12,819,2
1064,2009-05-12,810,3
1065,2014-08-10,839,4
1066,2014-07-20,330,2
1067,2008-12-26,585,4
1068,2015-03-25,875,4
1069,2007-04-23,77,2
