id1,id2,friended_on
14,51,2014-05-17
3,396,2015-08-23
5,338,2014-12-13
7,279,2015-12-28
12,125,2015-10-30
2,435,2015-11-26
15,34,2012-03-30
14,66,2015-12-12
2,440,2015-06-24
12,132,2014-04-17
8,256,2015-07-25
4,382,2014-07-24
6,321,2011-06-17
9,230,2015-12-27
9,233,2014-08-11
12,142,2015-08-04
12,152,2015-10-15
3,436,2015-01-17
1,499,2015-06-21
8,282,2005-12-17
4,408,2011-01-06
3,449,2015-08-10
8,296,2011-04-25
4,420,2015-03-17
15,84,2004-07-04
10,240,2011-06-29
17,30,2014-01-19
8,309,2009-11-27
4,440,2014-05-15
2,505,2015-10-24
14,134,2013-04-14
9,289,2013-01-27
14,136,2013-07-13
7,354,2015-12-27
5,419,2014-04-15
1,549,2014-01-23
1,550,2012-11-23
4,460,2015-11-23
11,247,2013-09-15
2,527,2015-11-26
4,467,2012-01-10
2,531,2015-12-15
9,317,2012-05-27
3,507,2015-12-14
16,105,2013-02-17
4,479,2013-12-19
14,173,2013-08-28
18,54,2015-09-22
9,335,2015-11-25
4,491,2008-03-17
16,126,2011-05-08
1,592,2015-11-12
11,284,2015-07-05
17,104,2014-06-11
5,476,2015-01-31
6,446,2015-09-06
5,477,2013-09-29
19,45,2014-03-22
6,449,2008-04-02
19,48,2010-02-21
7,423,2015-12-23
5,486,2008-03-19
12,272,2014-07-08
13,250,2010-06-30
9,375,2015-04-13
11,314,2011-08-11
1,627,2010-09-21
9,386,2014-10-08
15,203,2009-02-23
1,640,2011-08-17
4,547,2015-03-25
6,486,2006-03-08
4,550,2015-02-11
9,395,2009-05-06
3,583,2015-06-28
11,341,2013-07-11
13,282,2011-10-08
3,594,2015-12-02
5,535,2010-10-13
9,414,2012-05-01
12,322,2014-09-14
11,353,2015-11-12
13,292,2013-11-25
22,13,2011-06-18
8,450,2013-07-18
7,483,2015-12-27
3,609,2015-09-12
9,426,2014-10-13
13,303,2008-03-06
5,552,2013-02-06
1,680,2014-06-21
1,682,2010-11-02
4,591,2009-10-09
2,663,2015-07-20
22,46,2015-04-12
7,513,2015-12-26
1,703,2013-12-08
6,548,2015-04-15
13,331,2008-11-15
6,550,2014-02-25
13,334,2015-12-05
14,303,2015-01-07
4,614,2013-04-11
15,280,2014-01-23
20,125,2014-05-22
1,717,2009-12-18
4,625,2014-12-02
18,191,2015-12-06
16,255,2013-12-16
19,163,2015-09-17
5,600,2015-10-06
4,637,2008-11-11
6,575,2009-10-04
9,482,2009-01-05
13,361,2013-09-08
2,704,2015-03-16
4,643,2014-08-10
20,149,2015-01-04
20,150,2013-06-30
16,274,2012-01-20
1,740,2015-05-10
16,276,2009-11-24
10,464,2012-12-28
14,341,2013-08-17
15,312,2015-01-31
24,34,2013-06-20
25,4,2011-01-04
12,409,2014-10-17
24,37,2011-08-04
14,348,2013-08-23
15,319,2014-12-17
1,754,2014-12-08
1,761,2015-01-31
22,111,2011-06-21
3,702,2015-04-13
15,333,2005-09-27
8,550,2011-10-10
23,86,2015-07-04
19,210,2015-04-28
14,367,2013-06-10
5,647,2014-11-12
24,58,2014-02-10
23,90,2012-03-30
3,710,2015-12-04
6,618,2006-07-30
1,774,2010-09-17
9,528,2015-12-01
1,777,2008-07-29
22,126,2013-07-11
22,128,2015-01-21
14,377,2013-02-06
20,192,2013-02-18
23,99,2010-08-05
1,782,2009-01-02
12,441,2015-02-26
21,165,2015-12-07
2,754,2015-06-01
20,196,2013-05-29
14,386,2014-08-08
21,171,2012-04-19
2,761,2015-05-12
11,485,2014-10-11
12,457,2014-09-20
7,612,2015-12-26
17,302,2012-01-05
2,770,2015-10-02
1,804,2015-08-31
18,277,2012-01-23
8,589,2014-06-19
17,310,2015-05-13
12,467,2014-11-15
10,529,2013-04-06
22,158,2014-12-13
25,65,2004-05-27
15,379,2015-08-19
2,782,2015-11-15
16,349,2010-12-03
24,103,2012-01-06
25,73,2008-09-07
19,263,2007-08-15
12,482,2014-11-23
10,548,2015-01-18
11,517,2012-03-26
17,332,2015-11-28
4,736,2015-02-27
22,178,2015-01-12
1,831,2014-07-15
4,740,2014-08-06
9,586,2013-08-02
12,496,2014-05-17
6,685,2009-02-18
26,69,2015-10-03
19,287,2011-10-14
24,142,2015-11-05
2,829,2015-03-18
15,426,2015-05-05
10,584,2011-11-20
21,244,2015-04-19
21,245,2013-05-17
2,834,2015-04-27
16,401,2014-12-16
21,247,2015-10-01
20,278,2012-01-18
5,746,2014-08-04
10,591,2013-01-17
15,437,2013-08-09
17,376,2014-11-16
26,97,2015-09-23
5,749,2007-11-19
9,625,2008-12-26
21,254,2015-10-12
3,813,2015-02-21
9,627,2014-06-11
3,814,2015-11-27
4,783,2014-01-15
16,414,2010-04-21
8,663,2013-09-06
27,80,2015-09-01
13,516,2012-06-05
1,889,2014-12-09
6,736,2014-06-01
17,395,2011-12-13
20,303,2014-06-22
12,552,2015-07-07
13,524,2013-10-31
3,835,2015-03-14
19,340,2013-08-21
22,247,2009-09-18
24,190,2014-11-19
30,4,2014-11-28
20,317,2013-03-09
12,567,2015-09-28
28,71,2011-11-08
12,568,2014-08-23
12,569,2015-07-16
30,13,2013-10-06
25,168,2003-09-30
17,418,2014-02-14
24,201,2014-12-24
20,325,2015-12-10
8,698,2014-03-17
30,17,2014-01-19
12,576,2014-09-17
3,855,2015-02-19
1,917,2011-04-07
15,485,2014-05-22
4,826,2012-08-27
24,206,2008-01-16
3,858,2015-01-04
24,209,2013-06-28
14,520,2012-04-19
22,276,2012-11-09
18,400,2015-08-20
27,124,2011-11-23
3,869,2015-02-20
1,932,2012-03-29
20,343,2006-10-16
21,314,2013-09-14
15,500,2013-06-04
25,192,2014-06-22
1,937,2015-04-01
1,938,2015-11-29
6,784,2011-10-25
31,13,2015-04-26
14,540,2015-12-04
18,416,2013-07-31
7,758,2015-12-25
2,915,2015-06-26
26,171,2013-10-03
29,79,2015-09-14
27,142,2015-07-01
16,483,2012-02-05
12,607,2015-10-04
21,330,2013-06-19
10,672,2015-05-03
28,114,2015-03-13
3,889,2015-01-08
29,84,2011-08-05
6,797,2008-04-15
13,581,2007-11-24
20,364,2007-11-07
15,522,2015-04-07
11,648,2012-02-21
21,339,2012-11-21
10,681,2007-10-23
12,622,2015-11-07
32,8,2015-06-15
26,195,2015-07-20
31,40,2014-11-12
17,476,2013-04-16
24,259,2015-10-25
23,291,2014-05-09
12,633,2015-12-12
20,385,2015-10-14
18,447,2012-02-23
29,107,2012-10-23
21,356,2015-06-26
27,171,2005-07-26
9,729,2015-03-05
21,358,2013-11-27
1,978,2014-06-19
16,514,2015-12-29
13,609,2012-02-12
30,85,2014-08-10
5,861,2010-08-16
31,55,2015-06-14
20,396,2006-05-31
2,955,2015-03-21
29,118,2011-04-30
5,864,2009-09-01
7,802,2015-12-28
1,989,2015-09-25
9,745,2009-10-05
7,809,2015-12-23
13,625,2014-07-04
30,99,2013-09-18
21,379,2013-02-28
1,1000,2012-10-26
6,847,2005-10-05
32,41,2015-12-28
5,878,2014-10-12
28,167,2009-06-03
11,695,2015-11-20
15,572,2009-08-08
6,851,2015-01-30
16,546,2014-04-19
23,331,2015-07-26
17,518,2013-09-15
3,952,2015-06-21
24,301,2007-11-06
32,55,2015-12-28
32,58,2015-07-16
13,648,2010-04-05
16,555,2009-12-28
17,524,2013-07-09
13,650,2013-06-30
5,898,2015-10-18
26,249,2014-08-27
30,125,2014-07-03
25,282,2015-03-20
17,532,2015-08-23
25,284,2007-08-06
9,782,2011-02-12
4,938,2015-11-22
13,660,2012-09-11
28,197,2014-05-20
8,818,2009-01-30
15,602,2013-02-24
16,573,2014-08-15
17,542,2013-11-12
34,15,2012-03-30
11,730,2013-05-01
17,544,2011-01-17
3,980,2015-04-05
20,454,2015-07-09
26,268,2015-12-05
29,175,2013-11-29
16,581,2009-02-25
34,24,2013-06-20
15,613,2008-03-25
33,57,2012-09-18
12,710,2015-01-21
4,960,2011-06-25
17,557,2015-10-18
20,465,2008-05-03
18,527,2013-04-11
14,652,2015-11-15
21,438,2015-10-16
18,531,2015-12-24
8,843,2015-12-01
10,782,2013-01-11
18,536,2011-09-22
32,106,2015-11-24
20,478,2011-04-21
28,231,2012-01-24
28,232,2009-08-15
29,202,2015-12-16
12,730,2015-10-08
34,53,2014-04-07
29,209,2015-05-25
27,275,2014-03-18
10,803,2012-01-21
6,928,2012-03-19
9,835,2010-08-07
30,184,2014-04-14
32,123,2015-05-27
7,902,2015-12-28
22,437,2010-05-01
21,470,2015-06-23
36,5,2015-11-19
17,596,2015-11-01
36,8,2015-11-17
31,163,2015-05-11
25,350,2014-08-27
20,507,2014-06-06
13,724,2015-09-15
5,973,2013-06-26
24,386,2013-03-14
33,107,2013-01-30
17,604,2012-10-10
32,140,2015-04-10
15,669,2013-08-12
12,762,2014-04-17
24,391,2012-12-04
5,982,2015-10-03
9,860,2015-07-18
9,861,2012-12-01
11,804,2014-08-25
12,773,2014-06-29
23,432,2012-02-27
30,218,2014-12-22
30,220,2015-07-15
13,748,2015-12-12
27,316,2005-03-28
24,410,2015-05-06
30,225,2015-03-26
32,165,2015-04-15
15,693,2011-01-12
30,231,2014-03-17
17,635,2015-12-31
27,326,2005-09-28
31,204,2015-03-14
12,795,2014-06-16
28,300,2013-05-29
19,580,2005-09-16
37,24,2011-08-04
15,706,2009-05-18
12,800,2014-09-05
20,552,2012-01-05
24,432,2012-04-29
23,464,2014-12-17
26,372,2015-12-14
12,807,2014-06-03
24,437,2012-01-26
10,871,2012-10-24
11,843,2015-12-23
14,750,2015-11-29
28,316,2011-08-28
30,256,2015-05-18
10,880,2015-12-02
18,632,2010-02-10
10,882,2012-02-18
27,356,2015-01-05
24,452,2015-06-11
19,615,2015-09-05
27,369,2009-04-21
12,835,2014-08-13
34,153,2015-11-20
14,774,2015-11-14
19,619,2014-05-02
15,745,2010-11-19
31,250,2015-02-04
20,592,2015-11-09
37,66,2015-12-21
15,749,2003-07-17
20,595,2015-09-14
37,70,2014-01-10
16,721,2015-01-10
29,319,2013-10-12
15,753,2012-12-25
20,599,2012-09-30
38,42,2013-05-12
27,389,2013-11-14
14,794,2015-03-17
12,856,2015-02-25
9,949,2010-01-11
22,548,2015-04-09
15,766,2011-09-14
35,146,2015-05-28
15,767,2015-10-05
13,830,2010-04-04
18,675,2011-12-17
13,834,2014-01-05
38,61,2015-12-10
8,992,2010-04-27
30,310,2015-11-27
31,280,2013-01-23
27,406,2013-06-16
20,623,2015-06-24
40,9,2014-08-02
34,196,2013-03-08
28,385,2015-12-20
37,107,2015-11-07
34,201,2015-02-03
39,51,2013-10-06
16,765,2015-12-07
23,548,2015-08-23
13,858,2009-01-03
29,363,2015-10-12
30,332,2015-12-27
15,797,2009-02-16
26,457,2014-06-30
36,148,2015-12-07
38,89,2014-02-08
16,775,2014-06-21
40,31,2014-11-12
16,776,2014-06-26
14,841,2013-04-17
16,782,2010-07-12
22,598,2013-05-14
30,353,2015-04-15
27,446,2015-05-16
23,571,2012-12-17
27,448,2010-12-24
21,634,2012-08-21
31,324,2013-12-18
17,759,2015-08-18
15,823,2012-12-15
21,637,2014-08-07
19,701,2014-12-20
19,704,2013-11-23
14,864,2013-01-14
12,929,2015-07-06
41,32,2015-12-28
38,126,2010-12-10
19,716,2015-01-28
10,996,2015-07-31
31,345,2015-12-02
12,936,2014-09-03
20,689,2006-05-21
36,194,2015-12-04
33,288,2015-06-21
37,166,2015-05-23
24,573,2015-11-28
30,387,2013-09-28
16,822,2015-12-19
29,420,2015-08-30
40,80,2015-12-04
40,81,2014-05-12
39,114,2011-08-21
20,703,2013-06-04
30,395,2014-09-13
27,489,2005-08-10
30,396,2013-08-22
26,521,2015-09-04
17,801,2014-07-24
37,181,2011-03-08
23,616,2012-01-02
40,90,2015-11-19
21,680,2014-08-13
16,837,2013-08-08
12,961,2015-10-03
30,408,2014-05-04
29,440,2015-12-27
42,38,2013-05-12
13,938,2014-09-01
18,783,2010-03-28
32,352,2015-04-16
18,787,2011-05-17
12,975,2015-01-16
16,858,2010-10-27
13,953,2014-05-25
24,613,2007-11-10
15,893,2009-04-03
17,831,2014-07-23
13,956,2015-06-09
34,307,2011-02-06
36,246,2015-11-22
32,374,2015-12-03
19,777,2015-11-09
41,95,2015-12-07
35,282,2013-04-25
25,592,2015-06-11
33,345,2015-08-02
37,222,2014-12-10
39,160,2014-02-12
30,440,2014-11-13
27,533,2015-09-22
13,967,2013-05-25
37,226,2015-07-17
23,663,2013-02-03
13,977,2013-12-25
29,482,2015-03-31
16,885,2012-09-16
26,578,2015-11-14
33,363,2015-09-04
34,334,2015-08-25
28,520,2007-03-22
40,148,2015-05-15
37,242,2011-10-19
32,397,2015-08-11
41,119,2013-10-14
21,741,2013-09-10
32,402,2015-05-15
20,775,2014-02-14
30,468,2015-08-02
16,903,2015-12-25
36,284,2015-12-04
15,935,2015-11-17
21,750,2015-11-10
19,815,2006-07-31
14,971,2014-11-24
19,817,2015-08-04
21,756,2014-03-17
18,852,2011-09-07
40,171,2014-12-23
18,855,2013-08-03
45,19,2014-03-22
34,362,2014-10-13
23,703,2013-11-27
30,486,2015-06-26
26,610,2013-11-12
16,923,2014-04-27
41,148,2011-06-07
20,799,2012-10-13
39,211,2011-07-05
32,428,2015-09-24
40,180,2014-08-15
29,522,2014-10-21
36,306,2015-12-23
44,60,2015-03-10
21,776,2012-03-29
37,281,2012-02-21
42,126,2013-07-01
16,934,2014-06-23
35,345,2015-11-24
37,285,2011-06-15
31,473,2012-04-03
40,194,2015-06-18
40,195,2015-04-26
41,164,2013-10-18
32,445,2015-09-22
37,291,2014-02-24
30,509,2014-03-21
34,386,2014-04-29
32,450,2015-07-02
20,823,2012-01-30
29,545,2013-11-22
30,515,2015-02-24
31,485,2012-07-24
46,22,2015-04-12
36,334,2015-12-12
37,304,2015-10-29
28,585,2013-08-21
31,493,2015-09-14
32,462,2015-10-05
21,804,2015-02-15
29,557,2015-11-10
29,558,2013-06-05
37,311,2014-11-23
17,931,2011-05-09
39,249,2014-06-10
38,284,2012-09-19
30,532,2015-10-09
20,845,2012-08-26
34,415,2011-12-10
35,384,2013-11-13
18,914,2012-02-09
42,173,2014-10-23
37,330,2015-01-15
19,891,2014-05-06
23,768,2015-08-27
18,923,2013-05-30
17,959,2013-05-04
39,277,2007-12-28
44,125,2007-07-08
21,838,2015-12-31
46,63,2015-12-02
43,157,2013-10-08
41,222,2009-06-25
16,998,2015-10-01
39,285,2007-07-09
28,628,2015-06-15
42,195,2014-12-01
41,231,2014-03-20
46,78,2015-02-14
30,574,2013-10-05
48,19,2010-02-21
23,801,2013-05-25
21,863,2014-11-09
30,585,2014-02-23
44,155,2012-10-27
20,899,2007-12-02
24,776,2013-06-05
33,497,2003-05-17
49,2,2015-09-04
28,653,2015-02-08
46,97,2015-03-05
22,843,2015-12-02
37,379,2014-12-14
27,689,2012-09-25
25,751,2003-03-22
47,70,2011-11-27
44,165,2013-06-20
49,12,2014-05-21
46,106,2015-10-17
37,386,2011-09-02
27,697,2012-07-16
33,512,2013-03-30
41,266,2013-09-04
19,950,2011-07-15
39,335,2015-12-10
30,614,2014-04-08
23,833,2015-10-19
47,90,2012-12-25
30,619,2015-05-25
37,402,2015-12-13
47,94,2013-09-30
38,373,2012-09-26
19,964,2015-09-15
29,655,2013-07-23
30,625,2014-06-30
33,533,2015-03-07
26,752,2013-10-27
47,102,2012-12-23
39,351,2015-12-30
29,662,2013-11-18
24,820,2012-07-26
46,140,2015-03-31
27,729,2015-05-12
47,112,2013-11-09
29,670,2011-08-12
24,826,2009-06-13
37,425,2014-07-02
19,983,2015-03-30
38,394,2007-09-13
46,148,2015-03-02
33,555,2010-05-09
25,804,2015-04-19
36,464,2015-12-15
43,247,2010-07-24
32,589,2015-07-13
33,558,2012-09-16
26,775,2014-06-27
24,838,2015-12-08
31,625,2014-12-26
34,533,2015-07-20
48,105,2010-03-18
29,695,2015-11-26
51,14,2014-05-17
46,170,2015-09-07
34,543,2012-09-14
33,574,2012-01-03
38,421,2015-10-24
29,700,2013-12-05
49,80,2014-09-14
30,671,2015-05-18
32,609,2015-11-17
44,239,2011-03-14
27,767,2014-09-14
49,86,2011-08-03
27,771,2004-10-24
33,588,2012-09-05
21,964,2015-03-04
36,501,2015-12-31
46,192,2015-11-20
49,100,2015-02-28
51,39,2013-10-06
23,907,2011-07-06
25,849,2012-11-07
41,354,2014-09-14
39,421,2012-04-08
43,297,2013-08-13
23,918,2015-05-11
47,176,2015-07-02
28,767,2014-11-28
32,643,2015-12-27
23,922,2015-06-27
41,365,2015-09-12
42,336,2015-03-15
39,430,2008-07-04
37,494,2011-09-27
47,186,2015-03-21
25,868,2008-09-01
28,777,2015-08-03
43,316,2006-12-18
49,133,2009-06-07
30,726,2015-12-12
39,447,2009-06-25
43,325,2015-12-28
45,263,2015-06-29
30,736,2015-11-15
34,613,2012-12-03
49,152,2011-11-24
50,122,2015-10-03
29,773,2012-09-23
42,372,2015-12-31
25,899,2011-05-22
51,94,2015-01-26
39,468,2013-07-07
53,34,2014-04-07
29,779,2015-05-12
30,748,2015-07-04
37,533,2015-09-20
25,907,2009-07-15
23,971,2014-08-16
29,787,2014-03-05
54,12,2015-08-07
47,229,2010-04-08
41,416,2015-01-12
54,18,2015-09-22
41,422,2012-07-18
34,640,2010-12-17
34,641,2015-04-09
38,518,2007-09-23
50,148,2015-11-18
49,180,2014-02-05
44,336,2015-08-09
30,771,2014-06-21
50,153,2015-02-23
26,897,2015-01-05
53,60,2014-02-24
42,401,2013-06-18
29,804,2013-06-09
34,650,2014-05-30
24,960,2009-01-12
55,2,2015-10-27
29,809,2015-05-19
29,810,2014-10-05
25,935,2012-05-03
27,875,2015-10-31
30,783,2014-09-08
24,969,2015-03-18
52,101,2015-11-30
53,71,2013-02-18
53,73,2014-11-23
43,384,2010-10-06
51,136,2014-04-13
55,13,2012-11-24
34,664,2015-05-23
52,107,2015-12-17
51,138,2013-06-06
40,480,2014-05-28
26,916,2013-09-18
28,856,2010-05-17
34,670,2013-12-31
42,423,2014-09-01
39,518,2011-03-30
41,456,2015-10-12
32,737,2015-08-08
42,427,2014-04-17
30,800,2015-05-22
45,336,2014-09-14
39,522,2015-12-23
47,276,2012-01-01
50,186,2015-04-21
55,31,2015-06-14
40,496,2015-03-07
52,125,2015-12-26
55,32,2015-12-28
27,902,2013-05-16
32,750,2015-11-10
31,781,2014-08-06
52,130,2015-12-07
51,162,2013-08-25
42,444,2015-01-18
53,104,2013-03-26
51,166,2015-11-11
33,724,2015-09-10
28,881,2014-08-23
56,13,2012-06-12
37,603,2011-11-28
36,638,2015-11-20
32,764,2015-04-18
42,455,2015-11-02
41,489,2009-06-27
33,737,2014-03-14
42,458,2014-08-09
46,335,2015-12-18
32,770,2015-04-21
53,119,2011-08-20
35,679,2014-03-17
41,494,2012-07-13
33,743,2015-12-27
44,406,2011-05-06
28,902,2014-04-26
37,625,2013-06-18
55,67,2011-02-15
40,533,2015-03-05
46,347,2015-12-26
37,626,2015-12-09
40,535,2014-08-07
41,505,2010-03-18
50,227,2015-03-19
43,445,2015-08-04
52,167,2015-12-09
40,539,2015-10-31
40,540,2015-03-14
38,602,2013-02-13
40,541,2014-10-06
55,77,2011-08-11
39,574,2010-08-18
53,140,2012-04-28
39,575,2004-02-25
31,823,2013-12-17
35,704,2012-11-15
27,953,2012-10-11
55,87,2011-04-28
53,152,2012-12-27
52,186,2015-12-06
30,869,2015-01-15
57,33,2012-09-18
32,808,2015-11-12
26,995,2015-06-30
30,873,2014-11-05
39,596,2014-10-07
36,693,2015-12-12
48,321,2015-09-04
51,228,2011-07-11
37,663,2013-12-04
38,632,2013-11-01
50,261,2015-10-06
36,698,2015-11-22
29,916,2014-01-17
56,79,2015-07-09
55,112,2014-08-05
38,641,2014-06-09
42,517,2014-03-11
51,240,2013-03-05
37,674,2012-07-20
58,24,2014-02-10
55,119,2015-05-17
40,586,2014-12-21
51,246,2010-03-12
39,619,2015-02-26
52,216,2015-11-30
54,155,2015-10-27
35,744,2015-02-16
56,93,2012-11-12
58,32,2015-07-16
57,63,2015-01-07
36,715,2015-11-14
51,251,2013-08-20
45,438,2015-11-07
59,4,2015-01-03
38,657,2013-04-19
57,68,2015-08-25
32,843,2015-12-11
57,69,2012-06-25
27,999,2015-02-20
56,102,2015-02-04
50,290,2014-10-05
59,12,2015-02-23
37,697,2014-01-27
39,636,2014-02-14
47,390,2014-05-22
35,762,2015-03-16
28,980,2014-07-25
37,704,2012-05-05
52,239,2015-12-29
55,148,2012-10-27
47,397,2008-03-10
29,957,2011-10-09
35,771,2013-04-10
46,433,2015-08-28
50,310,2014-05-22
33,842,2013-07-22
57,103,2014-06-29
57,105,2015-08-03
31,911,2015-05-24
46,446,2015-10-25
34,820,2015-05-17
34,822,2011-06-20
54,203,2015-08-08
42,584,2013-04-08
29,987,2012-05-08
34,838,2015-12-18
55,187,2013-04-16
42,591,2013-09-02
30,963,2013-08-22
50,344,2014-12-29
54,220,2015-10-11
46,472,2015-05-15
47,441,2012-08-06
57,134,2012-07-22
53,259,2015-10-26
39,694,2014-07-16
44,539,2015-09-10
60,44,2015-03-10
34,851,2015-03-06
43,573,2014-05-14
50,356,2015-10-24
58,108,2015-08-11
45,514,2015-10-20
49,392,2008-12-22
41,642,2013-02-13
60,53,2014-02-24
56,177,2015-10-19
59,85,2015-09-23
41,644,2015-12-31
47,458,2015-02-01
49,399,2006-04-29
34,864,2012-10-12
40,682,2015-12-23
46,497,2014-12-31
31,962,2014-05-01
44,561,2003-12-25
34,873,2015-09-25
46,501,2015-07-17
51,348,2012-11-06
61,38,2015-12-10
34,876,2015-12-26
39,722,2008-07-21
50,383,2015-02-26
42,632,2015-04-24
36,818,2015-11-07
60,74,2015-03-01
31,977,2013-09-30
54,266,2015-08-09
57,173,2015-04-24
38,764,2012-04-01
52,331,2015-12-19
42,641,2014-10-10
43,611,2012-12-25
39,735,2015-03-04
37,797,2013-10-17
60,85,2014-11-18
46,519,2015-02-11
52,338,2015-12-29
45,556,2015-07-20
43,621,2015-07-28
56,218,2011-12-22
55,250,2012-08-16
50,405,2015-04-25
45,561,2015-09-04
36,840,2015-11-05
42,657,2012-07-25
49,440,2014-05-31
33,938,2015-06-03
36,846,2015-12-26
61,73,2015-12-10
63,12,2014-08-22
63,13,2014-08-05
32,974,2015-07-18
54,292,2015-11-27
43,634,2008-10-20
52,356,2015-12-04
36,857,2015-12-13
52,364,2015-12-28
53,334,2015-05-27
48,491,2013-03-04
32,988,2015-07-26
61,89,2015-05-23
52,372,2015-12-12
42,683,2014-05-24
50,436,2014-06-26
41,716,2013-10-03
36,871,2015-12-08
49,469,2014-03-21
53,350,2015-12-13
52,381,2015-12-02
47,537,2014-08-13
34,944,2014-12-13
33,976,2015-04-26
63,46,2015-12-02
46,573,2015-02-23
52,391,2015-12-16
46,577,2015-09-11
53,362,2014-11-10
43,672,2015-07-11
34,952,2014-09-21
55,302,2012-11-04
36,891,2015-12-22
54,335,2015-12-11
45,615,2014-12-09
57,243,2012-09-12
63,57,2015-01-07
52,399,2015-12-07
48,524,2013-02-07
59,184,2015-05-27
55,310,2015-09-10
46,591,2015-07-13
54,346,2015-12-13
34,967,2015-07-24
58,225,2014-12-05
55,320,2015-08-26
61,134,2015-05-15
63,73,2015-05-27
52,415,2015-12-25
54,356,2015-12-08
55,325,2015-11-17
43,699,2014-07-13
47,577,2007-05-05
44,671,2015-06-18
50,487,2014-09-16
39,828,2014-10-05
62,116,2013-05-09
56,303,2013-04-25
65,25,2004-05-27
63,87,2015-02-17
36,925,2015-12-12
51,460,2013-04-28
62,120,2015-05-31
52,431,2015-12-30
48,555,2011-04-22
55,340,2013-09-26
39,836,2014-01-31
37,898,2015-03-18
62,125,2013-07-26
59,219,2013-01-01
55,344,2011-06-16
37,902,2013-10-11
63,99,2015-03-09
54,378,2015-10-06
50,504,2014-09-28
45,660,2014-09-06
66,14,2015-12-12
49,542,2014-07-15
50,512,2014-02-23
58,264,2015-10-13
41,793,2013-07-24
54,394,2015-09-26
53,427,2015-03-04
39,861,2009-12-21
58,273,2014-12-04
54,399,2015-11-17
43,742,2005-09-10
38,897,2006-08-19
60,216,2006-04-07
49,559,2014-10-31
41,807,2012-05-31
64,95,2015-11-27
59,250,2011-08-01
38,902,2014-02-26
59,252,2014-03-11
38,904,2010-09-01
66,37,2015-12-21
50,535,2015-11-18
49,567,2013-02-05
61,196,2015-04-24
60,231,2008-06-25
61,200,2014-11-13
62,169,2013-09-08
37,947,2014-06-15
41,824,2011-09-06
42,793,2013-12-25
63,142,2015-12-27
39,887,2010-07-29
53,453,2014-06-29
47,639,2015-02-17
39,889,2015-06-10
38,921,2014-04-28
52,488,2015-11-28
61,210,2015-04-13
49,583,2015-11-09
52,492,2015-12-05
64,123,2010-11-27
62,185,2014-12-26
60,247,2013-01-11
36,992,2015-12-19
57,341,2013-12-10
64,125,2012-05-25
49,590,2014-09-21
36,993,2015-12-17
41,840,2014-08-02
39,904,2015-12-12
39,905,2005-02-10
40,875,2015-12-01
53,476,2015-12-30
61,228,2015-06-23
38,942,2010-04-21
51,540,2015-08-16
60,261,2010-05-07
48,636,2013-12-01
42,826,2014-01-15
65,114,2015-07-15
44,765,2015-10-05
61,239,2015-04-08
50,582,2015-07-27
67,55,2011-02-15
51,553,2013-08-17
65,120,2015-07-08
63,182,2015-04-10
52,525,2015-12-02
53,496,2013-01-12
54,467,2015-12-30
49,622,2015-10-28
38,966,2009-07-10
64,162,2013-05-15
